FN,EAR,MAR,MOEAR,THRESH
27,0.1859707812894492,1.7234669022055633,9.267406902609716,1.2814079169010755
28,0.18646011258919923,1.5718349807977847,8.42987252861304,1.2578103141453754
29,0.1880117942353523,1.6488183539511239,8.769760219867592,1.2962977021030022
30,0.18054872252592644,1.6713635162209874,9.257132882682031,1.2723162572280835
31,0.19229088657801172,1.6260051825444184,8.45596591435317,1.2949484380322989
32,0.18339146619536537,1.6417135483727117,8.95196260999303,1.2983734061671275
33,0.18035071675633874,1.6267759852758585,9.020069421036458,1.2679790552530261
34,0.1832422306894903,1.5763566386395027,8.602583764168907,1.2464092537685107
35,0.18390963797870763,1.7038855333865064,9.264797386985101,1.278919396035543
36,0.17704159763600705,1.5793714499295577,8.92090599620946,1.2835002251029417
37,0.18739947095815165,1.5790156457733941,8.425934383379373,1.3187146944233379
38,0.1904410521765371,1.5723604567696303,8.256415509152232,1.2895655444266783
39,0.18079327840535853,1.5528259377501232,8.58895834760248,1.28111323303428
40,0.19212355941570558,1.5270014446416682,7.9480176678261145,1.2962874488964877
41,0.1792658343590822,1.6178234122794188,9.02471694098053,1.2876227048899378
42,0.19411637489348393,1.5354705510361357,7.9100516475165135,1.3064694681842859
43,0.19642506100147447,1.580305010803192,8.045332926185672,1.3078833635306766
44,0.1886202375227961,1.5909452380547549,8.434647622912031,1.3045935247074556
45,0.18464237405229184,1.6287943573732167,8.82134648524359,1.2962049940065672
46,0.183387446834012,1.6301050870973433,8.888858617311943,1.2885963345137752
47,0.18446733722831893,1.6449962523587125,8.91754755652307,1.267944955695306
48,0.1924088510217465,1.6093126235141046,8.364025952902844,1.2997995213508955
49,0.19584830360170202,1.5766875270149003,8.05055493470814,1.2386017966446754
50,0.19444612530196592,1.5889033476995016,8.171432293814071,1.2439234712362441
51,0.18783628270199718,1.6772808106694272,8.929482560781073,1.278840268286705
52,0.19246755224381326,1.62736856690618,8.455287906632016,1.3021679023486448
53,0.189193221662199,1.5879023478791663,8.39301923149412,1.2793722036708466
54,0.18766736861488562,1.5485153536249874,8.251383099012347,1.2532896047394504
55,0.18721215121213924,1.5327170763744002,8.187059795267261,1.2831769171321832
56,0.177250602240315,1.5870001444106958,8.9534259650021,1.3152581037982123
57,0.17505196324563563,1.6349322103929358,9.339696511136944,1.3214250697641823
58,0.16619209171938643,1.609285935837878,9.683288291209067,1.3089942125844138
59,0.17456509139511656,1.6830317250493436,9.641284586732821,1.306129432015245
60,0.16039091842560135,1.544406770719683,9.629016317629409,1.4121422116349764
61,0.11997157787883167,1.5831514791158352,13.196054491462796,2.147743953875916
62,0.1102900266250977,1.5602215273921929,14.146533237277753,2.450756706675139
63,0.1193532844888137,1.4977227003682618,12.548650896227617,1.9679778663114254
64,0.1496473823266639,1.5653918113700167,10.460535874613143,1.4461518996818423
65,0.1590884143279282,1.5308215519268908,9.622457791121205,1.403888054210154
66,0.1706243910149041,1.5237795334449324,8.930607894810478,1.2745051207535993
67,0.1741726309175235,1.6036715608957424,9.207368301482074,1.273858976628476
68,0.15992394941022026,1.7746131786812078,11.096606763563317,1.2712140204693563
69,0.1670387648291241,1.8211841518255782,10.90276352132152,1.2601354500063724
70,0.16603736624005416,1.7814831474125166,10.729411022076059,1.273760838941147
71,0.18139507049629117,1.8804513602752182,10.366606739259026,1.2362086687548115
72,0.1840565057147962,1.8137186536353633,9.854140426015702,1.235532399846443
73,0.18495299688379763,1.9099003925397093,10.3264095457705,1.2310113198887744
74,0.1792195167478512,1.8372105745039868,10.251174692591144,1.2106474355880033
75,0.18137505309456334,1.7751391757612163,9.787118710508185,1.171018665791744
76,0.1760292823945626,1.7274833040023612,9.813613283557428,1.1756791632546812
77,0.18564934014927512,1.726396558908347,9.299233477049812,1.1984503069226742
78,0.17414020717083592,1.9270177053467303,11.065897627285338,1.175122078961798
79,0.17767571779216215,1.7896180171928717,10.072383775515652,1.1827417446641737
80,0.18191608207629834,1.7375140744798265,9.551184560753057,1.1924249106787141
81,0.1781586885905777,1.7609233234289494,9.884015971153032,1.1269620087302905
82,0.17540293667147375,1.714875154529481,9.776775617738991,1.1370022111122366
83,0.15952065911773675,1.6941159827658057,10.620041266977443,1.148721125412608
84,0.16526478261061153,1.6820754389231298,10.17806342254024,1.142152497713666
85,0.16250835219148269,1.685318065901416,10.370655065873876,1.106408020987973
86,0.15983660324714158,1.6999906425357443,10.63580311392876,1.1010959592250105
87,0.161444421085193,1.7921470473053676,11.1007059597288,1.0914410606248355
88,0.15510061484383084,1.7559160252478292,11.321141615175687,1.114603628836034
89,0.16636418163879163,1.8207752343787131,10.94451471730834,1.110059928624991
90,0.15251548373784693,1.8180724962976178,11.920576532561334,1.1203156027132737
91,0.1468870169077359,1.7767677846461116,12.096152689669996,1.0933911064842687
92,0.15135288731874955,1.902998543020732,12.573255632798153,1.092702207274228
93,0.14493601966327135,1.8792109221660085,12.96579640128081,1.1872230101162442
94,0.1589166413711489,1.6224310402828896,10.209321228314355,1.1563972381146563
95,0.13837815070384213,1.4201500567396408,10.262820029869136,1.1708283246132463
96,0.17762031554910115,1.1664752380835317,6.56723998309232,1.2007548457942998
97,0.1710565184683792,1.0796518756316245,6.311667542977641,1.1283336439310838
98,0.18295440840348065,1.3510313965836813,7.38452496648328,1.1604860626835158
99,0.17190121387409366,2.0651044534808785,12.013320947189074,1.2337777154590206
100,0.1731085852137461,3.5543145142438783,20.53228330562105,1.2752614141693288
101,0.18316735366755682,2.826431163471397,15.430867492911883,1.1891850857260635
102,0.19262690187245962,3.0050336728111464,15.600280353368358,1.1993755829722619
103,0.18228491767463836,3.786980066922053,20.775059808741062,1.2045010266507328
104,0.19029144150991595,2.7045948306813314,14.212908416800222,1.2123941810491523
105,0.18688455915296684,2.234025256510486,11.95403872120818,1.1916620650828662
106,0.1862346368380803,2.2334781999585234,11.99281851044925,1.1999838747769804
107,0.18217441079421992,2.4917789204928127,13.677985341791333,1.2352180559967152
108,0.17815459503618963,2.9148780599459654,16.361509279925382,1.2205318407631585
109,0.17340741822155206,2.8266197990249715,16.300454894112846,1.2016990059322605
110,0.1767044510620837,3.404247236548361,19.26520365552255,1.2273832442862755
111,0.18337461133314786,3.5822526713308984,19.5351616305422,1.2312501541698535
112,0.19234512072370344,3.819214995088331,19.856053435192102,1.242551955577949
113,0.16442468655473588,2.9281050548115175,17.808183893583223,1.1713481263753196
114,0.1750634266879309,3.523297939251333,20.125836709068793,1.156049250152874
115,0.18734293250017267,2.4251578566458933,12.94501919170961,1.1761398469333384
116,0.17560284133047138,2.9129356686627617,16.588203508511775,1.1707507753927164
117,0.1602736526843333,2.4854917841322903,15.507800206111147,1.1609998261342482
118,0.1803836903719267,2.404159031168988,13.328028860103363,1.1793771769570975
119,0.1723443155173111,3.046160141472654,17.67485125534461,1.164810901846993
120,0.17760023684937618,3.13368526653398,17.644600717462314,1.1863000835680038
121,0.1838601205729756,2.9495058787858692,16.042118701946496,1.1665836816328792
122,0.18116605861746887,2.6077932980962437,14.394491539955531,1.1609202317755054
123,0.18157757726901577,2.9230212995870937,16.097919927946275,1.1721866911873655
124,0.17942765207773545,3.7598701283431843,20.95479757330968,1.1843713764587478
125,0.16910038843334163,3.193497942683218,18.88521943840523,1.1604815640591888
126,0.17296999410411584,4.565031870451502,26.392045013909595,1.204700382704691
127,0.16822827146791394,3.7327259914111686,22.18845833010362,1.1945832725026122
128,0.17846206906601256,3.538095731652971,19.825477481964196,1.1644342003399895
