FN,EAR_L,EAR_R,EAR,P1,P2,P3,P4,P5,P6,TIMESTAMP
80,0.21879949868570067,0.31158975246928905,0.26519462557749485,[0.48451647 0.35515881],[0.49610072 0.34623045],[0.50947648 0.345128  ],[0.52159297 0.34894708],[0.50846255 0.35300589],[0.49599802 0.35473773],1663675351678
81,0.25141277171166326,0.3252856207480305,0.2883491962298469,[0.48790914 0.35483506],[0.49892774 0.34463733],[0.51296568 0.34389934],[0.525518   0.34916425],[0.51154864 0.35309532],[0.49890932 0.35445726],1663675351697
82,0.23939829273823218,0.3141776248300426,0.27678795878413737,[0.49135065 0.35138249],[0.50209725 0.34163055],[0.51576871 0.34069264],[0.5284031  0.34570253],[0.51468855 0.34932145],[0.50225884 0.3508808 ],1663675351717
83,0.22757726386755647,0.3562584053377326,0.29191783460264453,[0.49263325 0.35090634],[0.50416815 0.341905  ],[0.51795238 0.34127524],[0.53048962 0.34595636],[0.51689976 0.34958884],[0.50406981 0.35090166],1663675351740
84,0.21176684085129457,0.30183019835177183,0.2567985196015332,[0.4973765 0.3467083],[0.50941241 0.33874929],[0.52286947 0.33859223],[0.5345428  0.34286702],[0.52197009 0.34594548],[0.5093143 0.3471657],1663675351759
85,0.2313655622134906,0.3070144905911992,0.2691900264023449,[0.50081873 0.34672281],[0.51327479 0.33770517],[0.52749282 0.33721811],[0.53950226 0.34258121],[0.52643031 0.34587407],[0.51307046 0.34698436],1663675351785
86,0.22505759756401028,0.30834019097112436,0.2666988942675673,[0.50049043 0.34657621],[0.51291567 0.33812976],[0.52690971 0.3374908 ],[0.53879815 0.34219444],[0.52600008 0.34590673],[0.51274759 0.34701854],1663675351823
87,0.2418691771676522,0.2951576106106332,0.2685133938891427,[0.50190467 0.35218537],[0.51388741 0.34279728],[0.52767402 0.34229684],[0.53976798 0.3475008 ],[0.52636319 0.35113221],[0.51348752 0.35231239],1663675351845
88,0.23587200593614452,0.25804876313096625,0.2469603845335554,[0.50170946 0.35613012],[0.51320207 0.3464292 ],[0.5272423  0.34570494],[0.53973216 0.35118788],[0.52569473 0.35439685],[0.51296437 0.35568541],1663675351869
89,0.2316658181305991,0.26619439508620585,0.24893010660840248,[0.50130051 0.3576079 ],[0.51221997 0.34777743],[0.52630222 0.34702611],[0.53896844 0.3525784 ],[0.525047   0.35542175],[0.51248676 0.3568922 ],1663675351890
90,0.23372596674279977,0.2636463919919689,0.24868617936738432,[0.49871054 0.35767326],[0.51009446 0.34808418],[0.52404487 0.34761617],[0.53627485 0.35271439],[0.52249074 0.35603383],[0.50987488 0.35723346],1663675351913
91,0.24141858779036804,0.2814817598832634,0.26145017383681574,[0.49417835 0.3554998 ],[0.50659639 0.34675044],[0.52026653 0.34678388],[0.53175169 0.3512392 ],[0.51879358 0.35538024],[0.50596756 0.35626611],1663675351934
92,0.24580446001023892,0.2799093837065985,0.2628569218584187,[0.48962873 0.35632098],[0.50192678 0.34738481],[0.51550072 0.34727955],[0.52699447 0.35151738],[0.51419008 0.35604045],[0.50138748 0.35703185],1663675351957
93,0.2513110920309658,0.3210581500542595,0.28618462104261266,[0.48797238 0.35563952],[0.49952129 0.34615567],[0.51330358 0.3459594 ],[0.52522266 0.35071641],[0.51231802 0.35487309],[0.4995845  0.35607308],1663675351979
94,0.27741243349482325,0.34257514855911464,0.30999379102696895,[0.48719996 0.35396296],[0.49806124 0.34333345],[0.5118407  0.34290117],[0.52419877 0.34829929],[0.51068389 0.35280013],[0.49826059 0.35413226],1663675352001
95,0.2520763978407988,0.3399898288389897,0.29603311333989424,[0.48490024 0.35499746],[0.49687934 0.34539098],[0.51059246 0.34496203],[0.52220494 0.34944052],[0.50990516 0.35393864],[0.49710938 0.35540023],1663675352025
96,0.2414711756810442,0.32272206296418277,0.2820966193226135,[0.48093903 0.35936403],[0.49285331 0.34984031],[0.50656682 0.34896299],[0.51847482 0.3534565 ],[0.50523567 0.35780916],[0.49245203 0.35923675],1663675352045
