,Start_blink,End_blink,Blink_frame,No_of_frames
352,28681,28683,28681,2
353,28727,28729,28727,2
354,28759,28761,28759,2
355,28854,28856,28854,2
356,28944,28945,28944,1
357,28972,28976,28974,4
358,28990,28995,28992,5
359,29068,29072,29071,4
360,29133,29136,29133,3
361,29188,29191,29189,3
362,29198,29204,29199,6
363,29330,29333,29331,3
364,29342,29347,29343,5
365,29546,29547,29546,1
366,29630,29633,29630,3
367,29734,29736,29735,2
368,29768,29771,29769,3
369,29929,29932,29931,3
370,29973,29977,29975,4
371,29997,30000,29998,3
372,30020,30024,30022,4
373,30037,30040,30039,3
374,30099,30101,30100,2
375,30170,30172,30171,2
376,30358,30362,30359,4
377,30396,30397,30396,1
378,30491,30493,30491,2
379,30617,30621,30618,4
380,30895,30897,30895,2
381,30929,30931,30929,2
382,30981,30983,30981,2
383,31007,31009,31008,2
384,31050,31053,31051,3
385,31087,31090,31089,3
386,31147,31151,31148,4
387,31255,31258,31256,3
388,31285,31289,31287,4
389,31328,31331,31329,3
390,31407,31409,31408,2
391,31454,31457,31455,3
392,31488,31491,31489,3
393,31517,31520,31518,3
394,31542,31546,31545,4
395,31586,31588,31586,2
396,31620,31625,31623,5
397,31651,31653,31651,2
398,31683,31686,31684,3
399,31764,31769,31765,5
400,31813,31816,31813,3
401,31850,31851,31850,1
402,31888,31889,31888,1
403,31926,31930,31927,4
404,31962,31967,31964,5
405,32026,32030,32027,4
406,32063,32067,32065,4
407,32086,32089,32087,3
408,32195,32197,32196,2
409,32207,32209,32208,2
410,32255,32259,32257,4
411,32367,32370,32369,3
412,32410,32413,32411,3
413,32513,32517,32515,4
414,32575,32577,32576,2
415,32717,32720,32718,3
416,32771,32773,32772,2
417,32816,32820,32818,4
418,32894,32898,32896,4
419,32907,32911,32909,4
420,32942,32944,32943,2
421,32970,32973,32971,3
422,32986,32990,32988,4
423,33025,33026,33025,1
424,33077,33080,33079,3
425,33121,33123,33121,2
426,33262,33267,33265,5
427,33336,33339,33337,3
428,33354,33357,33355,3
429,33411,33416,33413,5
430,33502,33505,33503,3
431,33579,33582,33581,3
432,33702,33705,33704,3
433,33750,33753,33751,3
434,33794,33798,33794,4
435,34132,34133,34132,1
436,34252,34254,34253,2
437,34439,34442,34440,3
438,34501,34504,34501,3
439,34587,34589,34587,2
440,34605,34609,34605,4
441,34653,34657,34654,4
442,34680,34684,34681,4
443,34709,34714,34711,5
444,34776,34779,34777,3
445,34826,34829,34827,3
446,34899,34902,34900,3
447,34952,34956,34954,4
448,34977,34981,34978,4
449,35098,35102,35099,4
450,35115,35119,35116,4
451,35219,35221,35220,2
452,35250,35252,35251,2
453,35375,35378,35376,3
454,35436,35440,35438,4
455,35506,35510,35508,4
456,35548,35553,35549,5
457,35582,35584,35582,2
458,35620,35624,35621,4
459,35652,35655,35653,3
460,35722,35725,35722,3
461,35814,35816,35814,2
462,35967,35969,35968,2
