,Start_blink,End_blink,Blink_frame,No_of_frames
158,18078,18080,18079,2
159,18115,18117,18115,2
160,18422,18424,18423,2
161,18457,18459,18458,2
162,18539,18542,18540,3
163,18658,18661,18660,3
164,18889,18893,18890,4
165,18992,18995,18994,3
166,19029,19031,19029,2
167,19100,19102,19101,2
168,19113,19119,19114,6
169,19204,19207,19205,3
170,19315,19318,19316,3
171,19463,19466,19464,3
172,19473,19474,19473,1
173,19570,19573,19571,3
174,19652,19656,19654,4
175,19760,19763,19761,3
176,19792,19796,19793,4
177,19935,19939,19937,4
178,19990,19993,19992,3
179,20083,20087,20085,4
180,20142,20145,20143,3
181,20198,20203,20199,5
182,20420,20423,20420,3
183,20548,20551,20549,3
184,20638,20640,20639,2
185,20732,20734,20733,2
186,20742,20745,20743,3
187,20753,20758,20754,5
188,20784,20786,20785,2
189,20818,20821,20819,3
190,20829,20834,20833,5
191,20903,20905,20904,2
192,20942,20944,20943,2
193,20990,20992,20991,2
194,21013,21016,21014,3
195,21060,21066,21063,6
196,21084,21086,21085,2
197,21188,21192,21189,4
198,21228,21233,21229,5
199,21375,21378,21375,3
200,21506,21512,21510,6
201,21692,21697,21693,5
202,21756,21760,21758,4
203,21846,21849,21847,3
204,21949,21952,21951,3
205,22155,22159,22156,4
206,22261,22263,22262,2
207,22318,22320,22319,2
208,22347,22348,22347,1
209,22778,22781,22779,3
210,23239,23242,23240,3
211,23344,23347,23345,3
212,23407,23409,23408,2
213,23475,23478,23476,3
214,23614,23617,23616,3
215,23721,23724,23722,3
216,23743,23746,23744,3
217,24083,24086,24085,3
218,24117,24121,24119,4
219,24275,24281,24277,6
220,24524,24525,24524,1
221,24542,24543,24542,1
222,24710,24713,24711,3
223,25068,25071,25068,3
224,25185,25188,25186,3
225,25353,25355,25354,2
226,25420,25425,25423,5
227,25530,25533,25531,3
228,25680,25682,25681,2
229,25871,25873,25872,2
230,25973,25976,25974,3
231,26056,26059,26057,3
232,26267,26268,26267,1
233,26497,26501,26499,4
234,26562,26563,26562,1
235,26612,26614,26613,2
236,26731,26736,26732,5
237,26904,26909,26906,5
238,26961,26964,26962,3
