,Start_blink,End_blink,Blink_frame,No_of_frames
322,32047,32050,32047,3
323,32090,32096,32092,6
324,32147,32151,32147,4
325,32579,32582,32579,3
326,32610,32618,32610,8
327,32653,32661,32655,8
328,32805,32808,32805,3
329,32959,32962,32959,3
330,32972,32978,32974,6
331,33085,33089,33085,4
332,33115,33118,33115,3
333,33323,33335,33323,12
334,35245,35253,35245,8
335,35357,35364,35357,7
336,35466,35473,35466,7
337,35477,35480,35477,3
338,35666,35673,35667,7
339,35745,35752,35746,7
340,35809,35815,35810,6
341,36011,36016,36011,5
342,36111,36115,36111,4
343,36207,36216,36207,9
344,36304,36321,36304,17
345,36443,36449,36444,6
346,36452,36456,36454,4
347,36467,36471,36467,4
348,36605,36608,36605,3
349,36678,36688,36678,10
350,36788,36791,36788,3
351,36898,36927,36898,29
352,36928,36933,36928,5
353,36956,36964,36959,8
354,36980,36986,36982,6
355,37112,37119,37115,7
356,37144,37150,37144,6
357,37165,37167,37165,2
358,37282,37298,37282,16
359,37545,37550,37545,5
360,37611,37624,37611,13
361,37662,37675,37663,13
362,37826,37857,37826,31
363,37927,37940,37927,13
364,37956,37960,37956,4
365,38173,38178,38173,5
366,38184,38189,38186,5
367,38340,38346,38342,6
368,38370,38375,38372,5
369,38442,38453,38442,11
370,38454,38457,38454,3
371,38500,38504,38501,4
372,38548,38553,38548,5
373,38579,38581,38579,2
374,38645,38661,38645,16
375,38684,38689,38684,5
376,38702,38707,38704,5
377,38751,38773,38754,22
378,38806,38822,38808,16
379,38880,38882,38880,2
380,38990,38995,38990,5
381,39070,39089,39071,19
382,39123,39137,39123,14
383,39217,39222,39220,5
384,39235,39240,39235,5
385,39353,39356,39353,3
386,39398,39408,39401,10
387,39450,39474,39450,24
388,39607,39617,39610,10
389,39702,39706,39704,4
390,40117,40121,40117,4
391,40151,40154,40151,3
392,40410,40417,40411,7
393,40518,40523,40520,5
394,40599,40605,40601,6
395,40668,40682,40668,14
396,40735,40739,40735,4
397,40808,40811,40808,3
398,40820,40825,40822,5
399,40942,40947,40944,5
400,41155,41174,41155,19
401,41280,41284,41280,4
402,41317,41329,41317,12
403,41368,41371,41368,3
404,41423,41426,41423,3
