,Start_blink,End_blink,Blink_frame,No_of_frames
418,132474,132477,132475,3
419,132484,132487,132485,3
420,132558,132562,132559,4
421,132611,132614,132612,3
422,133484,133487,133485,3
423,133509,133512,133510,3
424,133648,133651,133649,3
425,133852,133855,133853,3
426,133875,133885,133877,10
427,133907,133911,133908,4
428,133937,133951,133939,14
429,134000,134008,134001,8
430,134085,134088,134086,3
431,134406,134410,134407,4
432,134446,134449,134447,3
433,134499,134501,134500,2
434,134532,134534,134533,2
435,134550,134553,134552,3
436,134561,134563,134562,2
437,134759,134765,134762,6
438,134835,134837,134836,2
439,134926,134935,134927,9
440,135369,135371,135370,2
441,135404,135408,135405,4
442,135593,135595,135594,2
443,135737,135741,135738,4
444,136049,136051,136050,2
445,136103,136109,136104,6
446,136122,136126,136123,4
447,136486,136490,136487,4
448,136503,136508,136505,5
449,136759,136761,136760,2
450,136994,136997,136995,3
451,137790,137797,137792,7
452,138196,138199,138197,3
453,138393,138397,138394,4
454,138403,138409,138406,6
455,138468,138473,138469,5
456,138487,138494,138488,7
457,138692,138698,138694,6
458,138948,138952,138951,4
459,139526,139530,139528,4
460,139899,139902,139900,3
461,140365,140367,140366,2
462,140443,140445,140444,2
463,140592,140594,140593,2
464,141158,141162,141160,4
465,141603,141607,141605,4
466,141904,141908,141905,4
467,142486,142492,142489,6
468,142876,142879,142877,3
469,142961,142966,142964,5
470,143021,143023,143022,2
471,143466,143470,143467,4
472,143491,143493,143492,2
473,143518,143520,143519,2
