FN,EAR_L,EAR_R,EAR,P1,P2,P3,P4,P5,P6,NOSE_x,NOSE_y,TIMESTAMP
48,0.0628907331386944,0.2241199212660315,0.14350532720236295,[0.70618463 0.42304283],[0.71277899 0.42175788],[0.7200166  0.42231286],[0.72778267 0.42355967],[0.72006404 0.42348942],[0.71261972 0.42328951],0.6835765242576599,0.45396190881729126,1663568766701
49,0.11601037063660834,0.3288443969463608,0.22242738379148458,[0.70594358 0.42215964],[0.71265572 0.41916543],[0.7197094  0.41976628],[0.726937   0.42217058],[0.71954095 0.42190421],[0.71239132 0.42187893],0.6827881336212158,0.4537656009197235,1663568766735
50,0.10458545610517493,0.3792653636079285,0.24192540985655173,[0.70601803 0.42222255],[0.71279883 0.41934386],[0.72004622 0.41979897],[0.7275036  0.42223278],[0.71994114 0.42179415],[0.71264315 0.42183521],0.6816220879554749,0.45517459511756897,1663568766769
51,0.06144236769411622,0.3480767533305324,0.2047595605123243,[0.70590752 0.42125949],[0.71278131 0.41888419],[0.72022182 0.41919678],[0.72787309 0.42098957],[0.72007573 0.4203355 ],[0.7125842 0.420423 ],0.6814598441123962,0.4553268551826477,1663568766804
52,0.0829339701619836,0.3380677155186728,0.21050084284032822,[0.70650876 0.4202269 ],[0.71326113 0.41770706],[0.72086573 0.41799259],[0.72873205 0.4201315 ],[0.72069913 0.41969046],[0.71313655 0.41968328],0.6818325519561768,0.45290541648864746,1663568766840
53,0.10776572820413015,0.3334614554046556,0.22061359180439288,[0.70653296 0.41958445],[0.71332026 0.4167701 ],[0.72080135 0.41716808],[0.72854638 0.41963118],[0.72048384 0.41942692],[0.71302444 0.41921583],0.6822569966316223,0.4519006907939911,1663568766872
54,0.1339079466841752,0.35342272757935755,0.24366533713176636,[0.70665258 0.41901514],[0.71363139 0.41616142],[0.72108406 0.41680092],[0.7286393  0.41938376],[0.72070897 0.41956809],[0.71319324 0.419227  ],0.6823483109474182,0.4514824450016022,1663568766902
55,0.0694927329164468,0.34578753137172086,0.20764013214408383,[0.70595598 0.41734219],[0.7129336  0.41524532],[0.72061318 0.41593206],[0.72843671 0.41804051],[0.72032732 0.41727906],[0.71262503 0.41696689],0.681161642074585,0.44978517293930054,1663568766941
56,0.0911251322824292,0.3712582518015966,0.2311916920420129,[0.70397806 0.41843346],[0.71117961 0.41583982],[0.71883756 0.41622993],[0.72646135 0.41835761],[0.71847928 0.41812336],[0.71077454 0.41797227],0.6799138188362122,0.4496724009513855,1663568766985
57,0.1378656937569363,0.3552424614615837,0.24655407760926001,[0.70473605 0.4154925 ],[0.71165788 0.41188049],[0.7191726  0.41226396],[0.72674906 0.41526848],[0.7189247  0.41508186],[0.711411   0.41511229],0.6805129051208496,0.4439528286457062,1663568767020
58,0.09135182002605255,0.34297479869776676,0.21716330936190964,[0.70365757 0.41406715],[0.71014416 0.41150326],[0.71751803 0.41199654],[0.72525871 0.41417393],[0.71726888 0.41374895],[0.70994693 0.41367093],0.6805155873298645,0.44505512714385986,1663568767054
59,0.18331029732534504,0.3509974800652399,0.26715388869529244,[0.70331591 0.41513276],[0.71004897 0.41105008],[0.71734762 0.41154379],[0.72465742 0.41483006],[0.7170856  0.41522044],[0.7098459  0.41518414],0.6797654628753662,0.4444318413734436,1663568767089
60,0.11781452679249518,0.35442145099694017,0.2361179888947177,[0.70194376 0.41437522],[0.70833796 0.41096434],[0.71575737 0.41109544],[0.72357839 0.41363955],[0.71533918 0.41356263],[0.70807868 0.41354969],0.6777209639549255,0.44702255725860596,1663568767120
61,0.24725473036008813,0.4575291947256614,0.35239196254287475,[0.70185149 0.41779119],[0.70833677 0.41162696],[0.71620578 0.41160995],[0.72391534 0.4170579 ],[0.7156719  0.41691911],[0.70825762 0.41720727],0.6782788634300232,0.4467661380767822,1663568767150
62,0.22219697536606065,0.40836759123620897,0.31528228330113484,[0.70199811 0.41896537],[0.70841622 0.41316107],[0.71606046 0.41310644],[0.72365189 0.41799474],[0.71554542 0.41777286],[0.70827359 0.41809672],0.6777958273887634,0.4481779634952545,1663568767183
63,0.22482119139865656,0.3982654967103386,0.3115433440544976,[0.70275432 0.42229885],[0.70927304 0.41645688],[0.71701944 0.41642642],[0.72462863 0.42136776],[0.71642703 0.42121154],[0.70907015 0.42147565],0.6787287592887878,0.45048487186431885,1663568767212
64,0.32586790913487906,0.40016833903061194,0.3630181240827455,[0.7028932  0.41993764],[0.70936751 0.41228151],[0.71714681 0.4120855 ],[0.72452384 0.41836786],[0.71643728 0.41902021],[0.70916647 0.41944233],0.6787881851196289,0.45054537057876587,1663568767244
65,0.28823566455768296,0.43066469583478145,0.3594501801962322,[0.7030707  0.41700369],[0.70942175 0.40991324],[0.71721125 0.40971223],[0.72467524 0.41548002],[0.71660209 0.41582406],[0.70931685 0.41625559],0.6792463064193726,0.4481191337108612,1663568767274
66,0.21147537710927322,0.46148443830627417,0.3364799077077737,[0.70438689 0.41754699],[0.71076274 0.41199377],[0.71854615 0.41164085],[0.72644752 0.41622975],[0.71822965 0.41624743],[0.71079129 0.41672343],0.6799321174621582,0.44621405005455017,1663568767309
67,0.32326571958853834,0.437492945095682,0.3803793323421102,[0.7045458  0.41805568],[0.71136957 0.41089332],[0.71903849 0.41069105],[0.72615665 0.41634625],[0.71851462 0.41754413],[0.71120536 0.41803411],0.6814599633216858,0.4479631781578064,1663568767340
68,0.30426424976590144,0.4126353670318911,0.3584498083988963,[0.70423621 0.41835538],[0.71098512 0.41113061],[0.71857423 0.41103446],[0.72566587 0.41665971],[0.71807754 0.41733685],[0.71085584 0.41788876],0.6809247136116028,0.4472689926624298,1663568767377
69,0.2512847395711742,0.4406587716579792,0.3459717556145767,[0.70618576 0.41815859],[0.71273655 0.41205609],[0.72005546 0.41210115],[0.7270931  0.41713256],[0.71956837 0.41709757],[0.71253246 0.41755223],0.6823755502700806,0.447002649307251,1663568767410
70,0.3461278678649605,0.40128025794754074,0.37370406290625063,[0.70606089 0.41788065],[0.71244019 0.41044718],[0.7199235  0.41067883],[0.72684032 0.41689843],[0.71892756 0.41768917],[0.71201038 0.41775456],0.682577908039093,0.44987425208091736,1663568767443
71,0.3115162333451982,0.4286743916611572,0.3700953125031777,[0.70634186 0.41867578],[0.71301514 0.41164362],[0.72042894 0.41159201],[0.72735411 0.41739622],[0.7197699  0.41794857],[0.71269745 0.41836104],0.6833673715591431,0.4486977756023407,1663568767471
72,0.316904169652138,0.47418811295360863,0.39554614130287336,[0.70636404 0.41926715],[0.71302652 0.41221228],[0.72045052 0.4121215 ],[0.72744811 0.41782591],[0.71986353 0.41862658],[0.71275288 0.41906977],0.683279812335968,0.44898003339767456,1663568767505
73,0.313520105261522,0.49311407385645256,0.40331708955898726,[0.70608389 0.41989905],[0.71274632 0.41298249],[0.72002524 0.41304255],[0.72692186 0.41859227],[0.71937281 0.4193297 ],[0.71238279 0.41974372],0.6830530762672424,0.4491822123527527,1663568767532
74,0.3181214585672737,0.39984237333841477,0.35898191595284423,[0.70602465 0.42000818],[0.7124939  0.41280797],[0.71984982 0.41278428],[0.72685802 0.41858745],[0.71910715 0.41918856],[0.71212572 0.41963673],0.6832660436630249,0.4503670632839203,1663568767564
75,0.2797070395314806,0.432026359491043,0.3558666995112618,[0.70587242 0.41907665],[0.71242839 0.41279465],[0.71984023 0.4129478 ],[0.72699982 0.41815451],[0.71921587 0.41862515],[0.71209842 0.41890439],0.6825346946716309,0.44836997985839844,1663568767600
76,0.2775788863057138,0.4716973463033271,0.3746381163045205,[0.70588064 0.41859734],[0.71242279 0.41237539],[0.71979982 0.4125725 ],[0.72697002 0.41799992],[0.7191903  0.41820326],[0.71207756 0.4184145 ],0.682280957698822,0.44666606187820435,1663568767630
77,0.2811233777590387,0.44144732815504983,0.3612853529570442,[0.70592958 0.41870856],[0.71211308 0.41218022],[0.71949095 0.41211811],[0.72689641 0.41796562],[0.7189942  0.41784871],[0.71197802 0.41822255],0.6813738346099854,0.44583258032798767,1663568767661
78,0.2579908379602494,0.5061800277491652,0.3820854328547073,[0.70507181 0.41788104],[0.71135175 0.41159168],[0.71872389 0.41147625],[0.7261703 0.4168404],[0.71829015 0.41670138],[0.71126521 0.41724759],0.6803932189941406,0.4463486671447754,1663568767692
79,0.2346341637679321,0.45978628898778967,0.3472102263778609,[0.7052725  0.41659483],[0.71159726 0.41092259],[0.71891659 0.41097593],[0.72630382 0.41599619],[0.71848595 0.415692  ],[0.71145129 0.41605815],0.6804039478302002,0.44388118386268616,1663568767723
80,0.24677957190126132,0.4536581460564128,0.3502188589788371,[0.70538872 0.41651165],[0.71185756 0.410368  ],[0.71917242 0.41030729],[0.72638839 0.41553596],[0.71862805 0.41526055],[0.71157587 0.4157533 ],0.6814094185829163,0.44296449422836304,1663568767759
81,0.21828518854289727,0.46542764818970617,0.3418564183663017,[0.70556909 0.41664243],[0.71219599 0.41115248],[0.71971393 0.41125193],[0.72701317 0.41613945],[0.71912163 0.41571203],[0.71191829 0.41600972],0.6822640895843506,0.4444936513900757,1663568767792
82,0.2072395439689575,0.4563370362217908,0.33178829009537414,[0.70549721 0.41756612],[0.7121616  0.41214082],[0.71976811 0.4121899 ],[0.72725141 0.41717264],[0.7191354 0.4165701],[0.71180201 0.4167192 ],0.6811245679855347,0.4450784921646118,1663568767823
83,0.23011484508724134,0.41106325507584573,0.32058905008154354,[0.70555544 0.41811961],[0.71242702 0.41225588],[0.72018081 0.41221404],[0.72761178 0.41730788],[0.7194761 0.4171955],[0.71201783 0.41736633],0.6814428567886353,0.4450215697288513,1663568767860
84,0.23657848234033155,0.46313432377654495,0.34985640305843824,[0.70525986 0.41799355],[0.71225536 0.41191554],[0.72009599 0.41191065],[0.72757161 0.41732335],[0.71934503 0.41709524],[0.71179849 0.41721892],0.6808998584747314,0.44665414094924927,1663568767896
85,0.248455338860988,0.4565189909894416,0.3524871649252148,[0.70486295 0.41827664],[0.71147871 0.41209409],[0.71911204 0.41209275],[0.7265842  0.41760796],[0.71859598 0.41735324],[0.71127397 0.41760316],0.6804730892181396,0.4467458128929138,1663568767927
86,0.2057253120156799,0.4308322211416004,0.3182787665786402,[0.70470792 0.4185847 ],[0.71130824 0.41296726],[0.71895969 0.41303697],[0.72646248 0.41814196],[0.71838534 0.41735673],[0.71105576 0.41755533],0.6797242164611816,0.4482648968696594,1663568767961
87,0.25849677561563894,0.45193994304019897,0.35521835932791895,[0.70347375 0.41926348],[0.71012354 0.41297942],[0.71797299 0.41302752],[0.72560126 0.41843903],[0.71758991 0.41852143],[0.71007013 0.41891965],0.6797959804534912,0.44866105914115906,1663568767992
88,0.2270781899200026,0.4620870143446123,0.34458260213230746,[0.70411956 0.41976017],[0.71086109 0.41375896],[0.71865439 0.41362989],[0.72621757 0.4186964 ],[0.71812892 0.41852126],[0.71065414 0.41888285],0.6788877248764038,0.4494216740131378,1663568768026
89,0.23936319313560533,0.43588055920213553,0.3376218761688704,[0.70414883 0.41865838],[0.71067005 0.41272423],[0.71856695 0.41274855],[0.72637212 0.41816545],[0.71808839 0.41794676],[0.7105689  0.41814458],0.6803780794143677,0.4483277499675751,1663568768057
