FN,EAR_L,EAR_R,EAR,P1,P2,P3,P4,P5,P6,NOSE_x,NOSE_y,TIMESTAMP
877,0.35442703341596055,0.3895553106494907,0.37199117203272564,[0.49519333 0.46385393],[0.50206727 0.45316666],[0.50999469 0.45083889],[0.51767468 0.4556523 ],[0.50963241 0.45932266],[0.50197542 0.46163803],0.4739205837249756,0.500938892364502,1663315643058
878,0.3338844016571549,0.3762229907627966,0.35505369620997573,[0.4948968  0.46524632],[0.50193328 0.45500499],[0.50987285 0.45306039],[0.51753694 0.45766222],[0.50951165 0.46091706],[0.50182545 0.46308339],0.47269341349601746,0.5037891864776611,1663315643092
879,0.3005023369428063,0.29444032172773127,0.29747132933526876,[0.49635383 0.46778464],[0.50308776 0.45777988],[0.5110184  0.45561266],[0.51896334 0.46031007],[0.51091045 0.46262091],[0.50328982 0.46507972],0.47433897852897644,0.5058208703994751,1663315643123
880,0.31388832002991884,0.3390850953444089,0.32648670768716387,[0.4988243  0.46642238],[0.50548428 0.45670938],[0.51334703 0.45485392],[0.52122539 0.4597553 ],[0.51329541 0.46204227],[0.50570732 0.46419004],0.47593751549720764,0.5021490454673767,1663315643165
881,0.32966322188494174,0.2641466241520996,0.2969049230185207,[0.50042939 0.46995747],[0.50710803 0.45993266],[0.51519799 0.45786574],[0.52316558 0.46351051],[0.514943   0.46574086],[0.507209   0.46763432],0.47771981358528137,0.5063498020172119,1663315643194
882,0.30637319784367556,0.2571474437220437,0.2817603207828596,[0.50036925 0.46682674],[0.50765443 0.45736784],[0.51590568 0.45525926],[0.52376151 0.45998856],[0.51557571 0.46285501],[0.50756216 0.46469775],0.4780777394771576,0.5033519268035889,1663315643226
883,0.3241483583734626,0.24543985014836903,0.28479410426091584,[0.50138611 0.46899554],[0.50822914 0.45923349],[0.51631808 0.45689794],[0.5240835  0.46189466],[0.51598722 0.4648768 ],[0.50816613 0.46666545],0.479074627161026,0.5089636445045471,1663315643256
884,0.3228812052208263,0.19494708685518128,0.2589141460380038,[0.50233537 0.46924984],[0.50961524 0.46002606],[0.51752138 0.457867  ],[0.52495676 0.46180826],[0.5172807  0.46568817],[0.50949311 0.46757835],0.48064789175987244,0.5078741908073425,1663315643287
885,0.35135462387982536,0.2901996270510935,0.32077712546545945,[0.50361395 0.46777183],[0.51109189 0.45844609],[0.51897031 0.45664746],[0.52610195 0.46109256],[0.51851654 0.46497044],[0.5107612  0.46658885],0.48256242275238037,0.5042003393173218,1663315643319
886,0.35179311488484305,0.3533952356243278,0.3525941752545854,[0.50574315 0.46608895],[0.51342767 0.45685792],[0.52149504 0.45516261],[0.52876979 0.45989051],[0.52089119 0.46369651],[0.51296014 0.46506733],0.4836198687553406,0.5007271766662598,1663315643346
