FN,EAR_L,EAR_R,EAR,P1,P2,P3,P4,P5,P6,TIMESTAMP
60,0.18375785521762605,0.27959935888953735,0.2316786070535817,[0.47830617 0.28992084],[0.49701521 0.2845251 ],[0.51576865 0.28492028],[0.53130221 0.28820264],[0.51185107 0.29398149],[0.49346757 0.29346198],1663674138589
61,0.214170047565027,0.3146821290838093,0.26442608832441816,[0.47762319 0.29348618],[0.49535024 0.28635162],[0.51331413 0.28635007],[0.52864856 0.29022977],[0.51019579 0.29693154],[0.49242944 0.29682112],1663674138608
62,0.20753189547683015,0.30538119709110156,0.25645654628396586,[0.47482911 0.29337293],[0.49264461 0.28638801],[0.51062828 0.28632957],[0.52575898 0.28972554],[0.50733447 0.29645422],[0.48969871 0.29651454],1663674138630
63,0.19881571948171203,0.2618392550015468,0.23032748724162944,[0.47797894 0.29385272],[0.49595523 0.28711876],[0.51417905 0.28670123],[0.52987587 0.28989384],[0.51119787 0.29669654],[0.49310988 0.29698193],1663674138650
64,0.1999209357648074,0.2943992714890496,0.2471601036269285,[0.48364508 0.29237336],[0.50271934 0.28568837],[0.52162319 0.28557277],[0.53725761 0.28910771],[0.51792896 0.29578   ],[0.49919501 0.29570767],1663674138669
65,0.19838414202299748,0.29954616027299247,0.24896515114799497,[0.48748562 0.29166529],[0.50518006 0.28549114],[0.52335036 0.28588095],[0.53856575 0.28956521],[0.51959425 0.29537797],[0.50198281 0.29504144],1663674138688
66,0.21163925183462326,0.2751922390084604,0.24341574542154182,[0.49166799 0.29333606],[0.50996262 0.28724355],[0.52815986 0.28779322],[0.54319131 0.29191718],[0.52425557 0.29809576],[0.50638008 0.29743147],1663674138713
67,0.20928990205300468,0.28004530957272694,0.2446676058128658,[0.49753416 0.29343498],[0.51634902 0.28802127],[0.5348649  0.28912818],[0.5499295  0.29360998],[0.53063804 0.29937679],[0.51241076 0.2981267 ],1663674138735
68,0.21921103377453685,0.28259594320125536,0.2509034884878961,[0.50400877 0.29459178],[0.52370107 0.28947109],[0.54266351 0.29138318],[0.55664599 0.29573718],[0.53669661 0.30146027],[0.51842231 0.29954323],1663674138755
69,0.21170191934891544,0.2938379368198885,0.25276992808440196,[0.50737941 0.29798052],[0.52637535 0.2922318 ],[0.54495704 0.29398042],[0.55964702 0.29885197],[0.53975558 0.30378804],[0.52170557 0.30222651],1663674138778
