File name,Blink rate is higher than avg or not,Blink duration is higher thn avg or not,Perclos is higher than avg or not,Avg ear is highetr than avg or not,P*EAR is hgiher than avg or not,Final,,
VIDEO_18112022174821_1668773901481_EAR.csv,0,0,0,1,0,0,,
VIDEO_18112022174920_1668773960483_EAR.csv,0,0,0,0,1,0,,
VIDEO_18112022175019_1668774019476_EAR.csv,0,1,1,1,0,0,,
VIDEO_18112022175118_1668774078446_EAR.csv,0,0,0,1,1,0,Stuck in traffic,
VIDEO_18112022175217_1668774137227_EAR.csv,1,1,1,1,1,1,,vehicle speed is zero
VIDEO_18112022175316_1668774196228_EAR.csv,1,0,1,0,0,0,,
VIDEO_18112022175415_1668774255242_EAR.csv,1,0,0,0,1,0,,
VIDEO_18112022175514_1668774314231_EAR.csv,1,0,1,1,1,1,,
VIDEO_18112022175613_1668774373230_EAR.csv,1,0,1,1,0,1,,
VIDEO_18112022175712_1668774432226_EAR.csv,1,0,0,0,1,0,,
VIDEO_18112022175811_1668774491230_EAR.csv,1,0,1,0,1,0,,
VIDEO_18112022175910_1668774550231_EAR.csv,1,0,1,1,1,1,,
VIDEO_18112022180009_1668774609222_EAR.csv,1,0,0,0,1,0,blink rate is higher and yawning,
VIDEO_18112022180108_1668774668225_EAR.csv,1,1,1,1,1,1,,
VIDEO_18112022180207_1668774727267_EAR.csv,1,0,1,0,1,0,,
VIDEO_18112022180306_1668774786227_EAR.csv,1,1,1,1,0,1,,
VIDEO_18112022180405_1668774845227_EAR.csv,1,0,0,0,1,0,,
VIDEO_18112022180504_1668774904231_EAR.csv,1,1,1,1,0,1,,
VIDEO_18112022180603_1668774963224_EAR.csv,1,0,0,0,0,0,,
VIDEO_18112022180702_1668775022230_EAR.csv,0,0,0,0,1,0,Vehical speed is 0 so ignore,
VIDEO_18112022180801_1668775081228_EAR.csv,1,1,1,1,1.0000,1,,
