,File_name,MissingFrames_per_min,Blink_per_min,blink_duration_per_min,Perclose_per_min,Avg_EAR,Multiplication of 4 features,F*G,Windowsize 4,,average,,Duration normalize,
44,VIDEO_18112022140917_1668760757869_EAR.csv,1,20,7.00000,0.07778,0.44686,4.8658,0.0348,0.0221,1.0000,0.0298,1.0000,0.25,0.008688897205968
45,VIDEO_18112022141016_1668760816857_EAR.csv,0,27,10.40741,0.15611,0.32667,14.3300,0.0510,0.0317,1.0000,0.0303,1.0000,0.371693121693122,0.018954989811248
46,VIDEO_18112022141115_1668760875868_EAR.csv,184,20,3.65000,0.04056,0.35862,1.0617,0.0145,0.0282,0.0000,0.0299,0.0000,0.130357142857143,0.001895943811258
47,VIDEO_18112022141214_1668760934860_EAR.csv,0,18,2.50000,0.02500,0.45912,0.5165,0.0115,0.0279,0.0000,0.0295,0.0000,0.089285714285714,0.001024821432582
48,VIDEO_18112022141313_1668760993865_EAR.csv,0,25,3.40000,0.04722,0.46264,1.8570,0.0218,0.0247,0.0000,0.0294,0.0000,0.121428571428571,0.002652862420312
49,VIDEO_18112022141412_1668761052861_EAR.csv,0,17,6.94118,0.06556,0.42001,3.2490,0.0275,0.0189,1.0000,0.0294,0.0000,0.247899159663866,0.006825598698871
50,VIDEO_18112022141511_1668761111866_EAR.csv,0,25,3.48000,0.04833,0.41583,1.7486,0.0201,0.0202,0.0000,0.0292,0.0000,0.124285714285714,0.002497933892159
51,VIDEO_18112022141611_1668761171018_EAR.csv,0,26,4.34615,0.06278,0.42167,2.9913,0.0265,0.0240,1.0000,0.0291,0.0000,0.15521978021978,0.004108894423738
52,VIDEO_18112022141709_1668761229858_EAR.csv,6,22,3.68182,0.04500,0.45566,1.6609,0.0205,0.0237,0.0000,0.0290,0.0000,0.131493506493506,0.002696220836038
53,VIDEO_18112022141808_1668761288980_EAR.csv,0,10,2.60000,0.01444,0.47929,0.1800,0.0069,0.0185,0.0000,0.0286,0.0000,0.092857142857143,0.00064286301727
54,VIDEO_18112022141907_1668761347861_EAR.csv,0,24,3.54167,0.04722,0.43763,1.7566,0.0207,0.0186,1.0000,0.0284,0.0000,0.126488095238095,0.002613986955374
55,VIDEO_18112022142006_1668761406868_EAR.csv,0,42,3.95238,0.09222,0.38341,5.8696,0.0354,0.0209,1.0000,0.0285,1.0000,0.141156462585034,0.004991197131455
56,VIDEO_18112022142105_1668761465861_EAR.csv,0,32,4.50000,0.08000,0.42592,4.9066,0.0341,0.0243,1.0000,0.0286,1.0000,0.160714285714286,0.005476154450559
57,VIDEO_18112022142204_1668761524864_EAR.csv,0,48,4.58333,0.12222,0.39086,10.5099,0.0478,0.0345,1.0000,0.0290,1.0000,0.163690476190476,0.007819848751793
