,File_name,MissingFrames_per_min,Blink_per_min,blink_duration_per_min,Perclose_per_min,Avg_EAR,,,,
15,VIDEO_23112022101251_1669178571205_EAR.csv,0,12,2.666667,0.017778,0.407877,0.007251150829555,0.006837391249948,0.01069802497821,FALSE
16,VIDEO_23112022101350_1669178630201_EAR.csv,0,6,3.833333,0.012778,0.442800,0.005658001398358,0.006628129965895,0.010401553002924,FALSE
17,VIDEO_23112022101449_1669178689204_EAR.csv,0,7,3.000000,0.011667,0.449853,0.005248281345948,0.005752767112979,0.010115260133092,FALSE
18,VIDEO_23112022101548_1669178748216_EAR.csv,0,6,2.666667,0.008889,0.440858,0.003918741976047,0.005519043887477,0.009789127598511,FALSE
19,VIDEO_23112022101647_1669178807206_EAR.csv,0,6,3.833333,0.012778,0.452845,0.005786355484068,0.005152845051105,0.009588988992789,FALSE
20,VIDEO_23112022101746_1669178866363_EAR.csv,0,5,2.000000,0.005556,0.458529,0.002547383151019,0.00437519048927,0.009253674428895,FALSE
21,VIDEO_23112022101845_1669178925196_EAR.csv,8,7,2.857143,0.011111,0.452397,0.005026637914148,0.00431977963132,0.009061536405497,FALSE
22,VIDEO_23112022101944_1669178984205_EAR.csv,0,1,3.000000,0.001667,0.469368,0.000782279307657,0.003535663964223,0.008701568705591,FALSE
23,VIDEO_23112022102043_1669179043211_EAR.csv,0,6,2.500000,0.008333,0.439848,0.003665400338024,0.003005425177712,0.008491728356943,FALSE
24,VIDEO_23112022102142_1669179102208_EAR.csv,0,2,4.000000,0.004444,0.474914,0.002110730292825,0.002896261963164,0.008236488434378,FALSE
25,VIDEO_23112022102241_1669179161476_EAR.csv,0,3,3.000000,0.005000,0.487462,0.002437307603488,0.002248929385499,0.008013443017805,FALSE
26,VIDEO_23112022102340_1669179220235_EAR.csv,0,4,3.500000,0.007778,0.480974,0.003740907831446,0.002988586516446,0.007855200973866,FALSE
27,VIDEO_23112022102439_1669179279245_EAR.csv,0,0,0.000000,0.000000,0.054375,0,0.00207223643194,0.007574658081942,FALSE
28,VIDEO_23112022102538_1669179338246_EAR.csv,0,4,4.000000,0.008889,0.471571,0.004191740594606,0.002592489007385,0.007458005754793,FALSE
29,VIDEO_23112022102637_1669179397241_EAR.csv,0,7,2.714286,0.010556,0.465199,0.00491043085883,0.00321076982122,0.007373086591594,FALSE
30,VIDEO_23112022102736_1669179456256_EAR.csv,0,4,6.750000,0.015000,0.457543,0.006863147045308,0.003991329624686,0.00735663692881,FALSE
