FN,EAR_L,EAR_R,EAR,p1,p2,p3,p4,p5,p6
45,0.37428476157011975,0.29653997056527703,0.3354123660676984,[0.59293777 0.46059126],[0.62067878 0.44469333],[0.64621323 0.44833869],[0.66059786 0.46006885],[0.64277899 0.47217882],[0.61760134 0.47107804]
46,0.34849055216116315,0.31023395783759894,0.32936225499938104,[0.59222877 0.45833454],[0.62059748 0.44362935],[0.64633977 0.4474985 ],[0.6608327  0.45885956],[0.64314568 0.46990094],[0.6176573  0.46864522]
47,0.3616655541591581,0.3067565724922518,0.33421106332570494,[0.59346652 0.45738229],[0.62153178 0.44196171],[0.64716262 0.44562897],[0.66180903 0.45722997],[0.64395672 0.46887848],[0.61863661 0.46776468]
48,0.37289217648742606,0.2979211045951589,0.3354066405412925,[0.59413451 0.45847648],[0.62218112 0.44224069],[0.64800316 0.44592884],[0.66246092 0.45785075],[0.6444239  0.46986252],[0.61896431 0.4688057 ]
49,0.3755376743907942,0.2992297025383475,0.3373836884645709,[0.59461498 0.46046415],[0.62257254 0.4438594 ],[0.64853656 0.44724584],[0.66323972 0.45928875],[0.64522719 0.47155735],[0.61973971 0.47072464]
50,0.37085952982451914,0.3076528358188664,0.3392561828216928,[0.59386802 0.45967984],[0.62228096 0.44350591],[0.64836371 0.44741657],[0.66317719 0.45931092],[0.64496356 0.47151148],[0.61919034 0.47040397]
51,0.3791019938524142,0.2970864539694452,0.3380942239109297,[0.59415388 0.46249467],[0.62229884 0.4446978 ],[0.64836717 0.44760567],[0.66303635 0.45952398],[0.64488751 0.47226626],[0.6192916  0.47190273]
52,0.36187395739846373,0.2881010076224344,0.32498748251044907,[0.59279978 0.46332622],[0.6213308  0.44639629],[0.64785188 0.44931561],[0.66275245 0.46052307],[0.64467883 0.47313511],[0.61855155 0.47288972]
53,0.3604785482462528,0.2978743879316823,0.32917646808896756,[0.59228873 0.46453983],[0.62107581 0.44799629],[0.64743096 0.4511399 ],[0.66209221 0.46256939],[0.64419878 0.4747586 ],[0.61812925 0.47433853]
54,0.3596020451593695,0.29642714569146267,0.3280145954254161,[0.5915702  0.46461296],[0.62017012 0.44852901],[0.64625096 0.45195699],[0.66101277 0.46332687],[0.6432116  0.47532743],[0.6172536  0.47475201]
55,0.34079903473502565,0.28791258184711244,0.314355808291069,[0.59091902 0.4663009 ],[0.61994475 0.45030132],[0.64628661 0.45329282],[0.66115826 0.46445486],[0.64336753 0.47573513],[0.61725396 0.4754177 ]
56,0.3340191945296547,0.2909742003420111,0.31249669743583286,[0.59089655 0.46639392],[0.61965454 0.45155451],[0.64574283 0.45485127],[0.660671   0.46567097],[0.64309084 0.47660196],[0.61703891 0.47611839]
57,0.3482265275333802,0.28115095736854634,0.31468874245096323,[0.59029174 0.46827364],[0.61965173 0.45230657],[0.64622343 0.45552441],[0.66091776 0.46664244],[0.64344692 0.47854245],[0.61691648 0.47817832]
58,0.34207446106973155,0.2995235809800115,0.3207990210248715,[0.59139657 0.46772039],[0.62008572 0.45199111],[0.64601022 0.45515111],[0.66070271 0.46606335],[0.64303201 0.47726882],[0.61721748 0.47693872]
59,0.33685096875620685,0.2743744597362171,0.30561271424621195,[0.59097636 0.46664917],[0.61988276 0.45198682],[0.64600819 0.45561433],[0.66083115 0.46662965],[0.64315498 0.47752821],[0.61709857 0.47679353]
60,0.3538331819048971,0.28784013228243727,0.32083665709366715,[0.59117889 0.46765837],[0.62017524 0.45217648],[0.6463303  0.45594227],[0.66095608 0.46753579],[0.64332938 0.47900549],[0.61726511 0.47813529]
61,0.33107299611748664,0.281397975581951,0.3062354858497188,[0.59161949 0.46796665],[0.62063968 0.45284766],[0.64693129 0.45608941],[0.66165155 0.46718425],[0.64391732 0.47779942],[0.61779171 0.47713739]
62,0.3456807234130263,0.2861622612363538,0.31592149232469,[0.59190923 0.46541005],[0.62054658 0.45073634],[0.6467163  0.45472267],[0.66135246 0.46591195],[0.64378035 0.47706607],[0.61774892 0.47605842]
63,0.3316289170026186,0.2761037923375752,0.3038663546700969,[0.59278458 0.46467572],[0.62091875 0.45102879],[0.64656991 0.45484507],[0.66143483 0.46555069],[0.64388633 0.47602096],[0.6182642  0.47507396]
64,0.319003695603179,0.2459085997534666,0.2824561476783228,[0.59360963 0.46492767],[0.62167948 0.45212707],[0.64682388 0.45620865],[0.66170526 0.46688044],[0.64410025 0.47636905],[0.61887091 0.47507566]
65,0.2917472024632778,0.21180532458332194,0.25177626352329985,[0.59418225 0.46561879],[0.62186247 0.45466456],[0.64652169 0.45873284],[0.66167408 0.46869856],[0.64376211 0.47706223],[0.6188789  0.47533649]
66,0.2922061007960239,0.2107935407586554,0.2514998207773396,[0.59593219 0.46439755],[0.62349832 0.45345888],[0.64810145 0.45745099],[0.66309446 0.46694416],[0.64568996 0.47557721],[0.6208967  0.47428977]
67,0.30429301601712255,0.2340468035212657,0.26916990976919414,[0.59771782 0.46488863],[0.624722   0.45359904],[0.648866   0.45775986],[0.66355562 0.46757555],[0.64660734 0.47623104],[0.6222437  0.47494823]
68,0.31307710868194266,0.23863026592993547,0.27585368730593907,[0.59852147 0.46571508],[0.62599802 0.45339981],[0.65043557 0.45792976],[0.66510302 0.46847782],[0.64778525 0.47710627],[0.62321138 0.47559294]
69,0.29393628036601394,0.2396035808142589,0.26676993059013643,[0.59792095 0.46477303],[0.62565094 0.45369548],[0.65050143 0.45809665],[0.66537577 0.468106  ],[0.64824164 0.47633216],[0.6231994  0.47488233]
70,0.30260132614794927,0.26352892499198577,0.28306512556996755,[0.5990541  0.46436188],[0.62672508 0.45277968],[0.65165204 0.45708328],[0.66633707 0.46726465],[0.64922225 0.47587189],[0.62425971 0.47445256]
71,0.30412299557725414,0.2636288596485506,0.28387592761290237,[0.59916091 0.46409628],[0.62698346 0.45235226],[0.65190452 0.45681387],[0.66638887 0.46713823],[0.64932871 0.47563854],[0.62433702 0.47412491]
72,0.2986692419204458,0.26260413516827075,0.2806366885443583,[0.59901083 0.46454865],[0.62723374 0.45297086],[0.65230095 0.45741382],[0.6670242  0.46754453],[0.64963996 0.4760994 ],[0.62442291 0.47458112]
