FN,EAR_L,EAR_R,EAR,p1,p2,p3,p4,p5,p6
107,0.06708884464305218,0.05787171900925308,0.06248028182615263,[0.56669974 0.53277451],[0.58188152 0.53649223],[0.59760576 0.5372746 ],[0.60754001 0.53298616],[0.59528142 0.53870416],[0.57926095 0.53732973]
108,0.07121292632882521,0.05898560953627522,0.06509926793255022,[0.56694126 0.5324071 ],[0.58238763 0.53641617],[0.59851706 0.53718293],[0.60828882 0.53272772],[0.59596068 0.53868282],[0.57957286 0.53721243]
109,0.06711185151553166,0.0651378930923856,0.06612487230395864,[0.56638241 0.53028536],[0.58236539 0.5336473 ],[0.59869325 0.53456879],[0.60857618 0.53072953],[0.5964573  0.53620601],[0.57977921 0.53494263]
110,0.055599745775526864,0.06682124512228944,0.06121049544890815,[0.56735551 0.53220618],[0.5830819  0.53586179],[0.59957522 0.53671563],[0.60996854 0.53326601],[0.59802544 0.53864419],[0.5812999  0.53726137]
111,0.04438592936174041,0.08172123368111071,0.06305358152142557,[0.56765521 0.53352636],[0.58322585 0.53686064],[0.59933078 0.53743458],[0.6095823  0.53338903],[0.59783268 0.53831971],[0.58137995 0.53758222]
112,0.05497204325970325,0.06781765734090721,0.061394850300305226,[0.56799424 0.53166509],[0.58357209 0.53582913],[0.59977293 0.53662002],[0.60970759 0.53234655],[0.59779382 0.53763711],[0.58125937 0.53630704]
113,0.05369700768306453,0.07413405528084378,0.06391553148195415,[0.56795615 0.5317353 ],[0.58382565 0.53586751],[0.60052222 0.53637385],[0.61050606 0.53201854],[0.59858841 0.53755915],[0.58156681 0.53630883]
114,0.05656721516790209,0.06232285856714031,0.0594450368675212,[0.56787002 0.53206539],[0.58369648 0.53605354],[0.60009456 0.53665292],[0.61008501 0.53249961],[0.59806859 0.53776294],[0.58127195 0.53650439]
115,0.05275884980881559,0.06345788818040875,0.058108368994612164,[0.56825584 0.53290391],[0.58382279 0.53614831],[0.59991783 0.53686386],[0.61010921 0.53305334],[0.59810185 0.53788853],[0.58161569 0.53689873]
116,0.04892617911881308,0.07293986976965978,0.06093302444423643,[0.56784725 0.53122574],[0.5833717  0.53518146],[0.59967065 0.53564101],[0.60950863 0.53111124],[0.59792101 0.53660959],[0.58138639 0.53579122]
