FN,EAR_L,EAR_R,EAR,MAR,MOEAR,MINUTE,TIMESTAMP
779,0.407349139223678,0.3695651290441519,0.3884571341339149,2.722090604564475,7.007441401825495,1,1663215604792
780,0.41224856336984705,0.34911263805813364,0.38068060071399035,2.8094685678952436,7.380120139103251,1,1663215604812
781,0.40964935715069506,0.3387649746141158,0.37420716588240543,2.6595461235136444,7.1071491034712215,1,1663215604832
782,0.4058426655648726,0.34289437678711365,0.3743685211759931,2.879009913555662,7.690309816946977,1,1663215604851
783,0.4139233801931408,0.3465550660502674,0.3802392231217041,2.8249259732958563,7.429338693950769,1,1663215604872
784,0.41859233297708237,0.35696280664060015,0.38777756980884126,2.762873511433311,7.124892532580718,1,1663215604893
785,0.4050459755976712,0.34091681976539123,0.3729813976815312,2.8800416403730282,7.721676357790211,1,1663215604912
786,0.40328888628753595,0.3413514265156325,0.3723201564015842,2.9423828636052693,7.902829897910812,1,1663215604932
787,0.40346033387248137,0.3546682095563673,0.37906427171442436,2.9223195446126926,7.709298297609753,1,1663215604949
788,0.4106023520531761,0.33537262245166927,0.3729874872524227,2.807154475096323,7.526135784808662,1,1663215604971
789,0.3962272457625289,0.3436523154257638,0.36993978059414634,2.8760701610308295,7.774427925571242,1,1663215604993
790,0.3983999170679359,0.34148653494503783,0.3699432260064869,2.816031295615813,7.612063413120678,1,1663215605015
791,0.40051545471432637,0.33946440664743244,0.3699899306808794,2.8429419515674486,7.683836006930467,1,1663215605037
792,0.40456736642246766,0.338042555448007,0.37130496093523735,2.6565589680680066,7.154655196032679,1,1663215605058
793,0.35200013658681306,0.3104666358476421,0.3312333862172276,2.8826306877846832,8.702717804823614,1,1663215605079
794,0.24236653675327263,0.12151792380261628,0.18194223027794446,2.7195530365258787,14.947343628641615,1,1663215605098
795,0.06375800177905053,0.042798377518252204,0.053278189648651365,2.6871868403341823,50.43690219309475,1,1663215605117
796,0.039931370557475594,0.039030972919852136,0.03948117173866386,2.867727577520758,72.63532086896996,1,1663215605140
797,0.041254373549803845,0.03678548319202763,0.03901992837091574,2.7838244567242043,71.34365881612386,1,1663215605163
798,0.039487414372758406,0.0431772635921678,0.04133233898246311,2.518188142365822,60.92537234426205,1,1663215605182
799,0.047450153837917286,0.046334992170730234,0.046892573004323757,2.9326031737953357,62.53875583932947,1,1663215605204
800,0.03852277980431938,0.05006150195753613,0.044292140880927755,2.728596361481359,61.60452638351234,1,1663215605222
801,0.040898942362794045,0.044841556449327656,0.04287024940606085,2.8458011421512563,66.38172582567077,1,1663215605241
802,0.04145922078710209,0.04455515685924631,0.0430071888231742,2.597923864193422,60.406735136185986,1,1663215605266
