FN,EAR_L,EAR_R,EAR,p1,p2,p3,p4,p5,p6
97,0.37084608687724524,0.3576466086580869,0.36424634776766607,[0.07747012 0.67162126],[0.09363315 0.65851617],[0.11077846 0.6608851 ],[0.12371427 0.66920346],[0.10655787 0.67698139],[0.09024908 0.67589509]
98,0.371824367474301,0.35873643153623735,0.36528039950526914,[0.07689371 0.67076623],[0.09310184 0.65783316],[0.11029354 0.66013968],[0.12328592 0.66834635],[0.10617346 0.67642808],[0.08989046 0.67528516]
99,0.37111941723566766,0.34652527576559183,0.3588223465006297,[0.07677186 0.67018014],[0.09304926 0.65739042],[0.1101006  0.65971661],[0.12304193 0.66778272],[0.10575663 0.675879  ],[0.0895986  0.67470342]
100,0.3640919651695323,0.35693825886568087,0.36051511201760655,[0.07635833 0.66966242],[0.09243505 0.65671599],[0.10948949 0.65912938],[0.12249677 0.66748953],[0.10526037 0.67486507],[0.08914731 0.67374188]
101,0.3718206939596231,0.3696660054397272,0.37074334969967515,[0.07524469 0.66884375],[0.09226632 0.65568721],[0.10944982 0.65812778],[0.12186526 0.66607571],[0.10460621 0.67429692],[0.08823925 0.67307806]
102,0.38221213855810315,0.35831558042858586,0.3702638594933445,[0.07614059 0.66778582],[0.09159068 0.6539728 ],[0.1086382  0.65604281],[0.12185314 0.66458762],[0.10459851 0.67255467],[0.08867611 0.67176604]
103,0.35572914197567385,0.37370332703909437,0.3647162345073841,[0.07768523 0.66463661],[0.09452575 0.65250784],[0.11174131 0.65440392],[0.12444593 0.66152519],[0.10789549 0.67015803],[0.09122297 0.66931146]
104,0.32868582849472106,0.38282181580159164,0.3557538221481563,[0.07772209 0.66291934],[0.09481346 0.65162647],[0.11192833 0.65338278],[0.1248246  0.66003048],[0.10877261 0.66798824],[0.09203906 0.66746485]
105,0.3314417459689409,0.40698096686616836,0.36921135641755465,[0.08053064 0.66122198],[0.0971786  0.64997399],[0.11388732 0.65171576],[0.12656419 0.65815127],[0.11071616 0.66609538],[0.09432516 0.6655727 ]
106,0.34537621385472717,0.41091546661809125,0.3781458402364092,[0.08289602 0.660137  ],[0.09971192 0.64843357],[0.11638658 0.65048659],[0.12867059 0.6572504 ],[0.11311194 0.66528386],[0.09676443 0.66469502]
107,0.33734954745837337,0.42876926808914684,0.38305940777376013,[0.08617169 0.65734476],[0.10278803 0.64618421],[0.11940587 0.647865  ],[0.13185924 0.65411931],[0.11606038 0.6624127 ],[0.09975313 0.66186792]
108,0.36347892346394906,0.4281710285926617,0.39582497602830535,[0.08888453 0.65580863],[0.10501691 0.64305043],[0.12156102 0.64447582],[0.13374069 0.65169573],[0.11802377 0.65994   ],[0.10206664 0.65967238]
109,0.3513149106467895,0.449870365748812,0.4005926381978008,[0.09056773 0.65326917],[0.10596274 0.64096498],[0.1222652  0.64233363],[0.13483861 0.64953536],[0.11894958 0.6571669 ],[0.10330637 0.65676033]
110,0.358510864298215,0.4601095233181653,0.4093101938081901,[0.09082337 0.65075904],[0.10618532 0.63809234],[0.12251378 0.63943928],[0.13489418 0.64665955],[0.11938266 0.65450019],[0.10381013 0.65427214]
111,0.35847653504837335,0.4458946905366044,0.4021856127924889,[0.09081243 0.6489228 ],[0.10641142 0.63657898],[0.12258104 0.63790691],[0.1348111  0.64499658],[0.11938919 0.6529879 ],[0.10381363 0.65262532]
112,0.3533111990587084,0.40657456239769535,0.37994288072820187,[0.08928815 0.64814091],[0.10566017 0.63537586],[0.12219137 0.63655603],[0.13463432 0.64353937],[0.11927116 0.65187269],[0.10320273 0.65180773]
113,0.35947481748862015,0.43586571477898356,0.39767026613380185,[0.0894576  0.64702338],[0.10578086 0.63416803],[0.12237717 0.63549459],[0.13472492 0.64271289],[0.11963199 0.65104568],[0.10352197 0.65091699]
114,0.3525122705778486,0.4323902872322694,0.39245127890505904,[0.08947563 0.64567572],[0.10599867 0.63316476],[0.12267078 0.63456231],[0.13502899 0.64176899],[0.11981761 0.64991993],[0.10363097 0.64960891]
115,0.37021271559780483,0.43859043462189146,0.40440157510984814,[0.09016106 0.64449233],[0.10563922 0.6315769 ],[0.12209587 0.6331712 ],[0.13459387 0.64144605],[0.11890882 0.64885765],[0.1032012  0.64837033]
116,0.36970010264261,0.45520376218097086,0.41245193241179046,[0.08889234 0.64511079],[0.10430463 0.63233167],[0.12084057 0.63390565],[0.13323051 0.64216995],[0.11740583 0.64957029],[0.10165732 0.64894092]
117,0.369406004313437,0.43427237264985946,0.40183918848164824,[0.08707757 0.64604419],[0.10284072 0.63326931],[0.11955267 0.63480258],[0.13200283 0.64289254],[0.11637822 0.65074581],[0.10040819 0.65011126]
118,0.36912398378304273,0.41283797673726774,0.39098098026015526,[0.08546835 0.64556098],[0.10104182 0.63342762],[0.11739704 0.63513929],[0.13006502 0.6425522 ],[0.1146892  0.65088165],[0.09885645 0.65031147]
119,0.3698635894693129,0.3946297362537463,0.38224666286152964,[0.08306544 0.64545023],[0.09883244 0.63311535],[0.11535925 0.63468635],[0.12792411 0.64215219],[0.11284868 0.65060556],[0.09682095 0.65015382]
120,0.3522669000804637,0.4122186508061805,0.3822427754433221,[0.08360443 0.64657104],[0.09943917 0.63457888],[0.1159717 0.6360777],[0.12873359 0.64366227],[0.1129963 0.6513086],[0.09693483 0.65072805]
121,0.33199245270484046,0.4021209554014541,0.3670567040531473,[0.08310413 0.6471324 ],[0.09901902 0.6353848 ],[0.11549006 0.63695848],[0.12825872 0.64419299],[0.1129916  0.65115243],[0.09689265 0.65087277]
122,0.3520692357945187,0.43959147621412087,0.3958303560043198,[0.08475704 0.64926183],[0.10056834 0.63580638],[0.11738706 0.63680255],[0.1302648  0.64472926],[0.11496138 0.65210867],[0.09878176 0.65241575]
123,0.39841750222681255,0.40963420772876535,0.404025854977789,[0.08656504 0.6502139 ],[0.10321065 0.63704866],[0.11974214 0.63896084],[0.13152978 0.64669693],[0.11588062 0.65594441],[0.09981796 0.65525717]
124,0.37198600463591525,0.4013541028318968,0.38667005373390606,[0.08781072 0.64885163],[0.10408654 0.63607758],[0.12076084 0.63749707],[0.13295409 0.64514232],[0.11753058 0.65363288],[0.10138109 0.65310663]
125,0.38560029018932246,0.42544067801385216,0.4055204841015873,[0.08870412 0.64369303],[0.10471802 0.63114476],[0.1207705 0.633219 ],[0.13278306 0.64110714],[0.11698645 0.64933097],[0.10140799 0.64833069]
126,0.37499038204006924,0.39410411583970556,0.3845472489398874,[0.08789491 0.64290899],[0.10426973 0.62985253],[0.12093583 0.63159811],[0.13330364 0.63994843],[0.11775245 0.64782608],[0.10162073 0.64724267]
127,0.358444858173873,0.39393751349247236,0.3761911858331727,[0.08669303 0.64264125],[0.10304065 0.63036722],[0.11966819 0.63218355],[0.13222016 0.64041853],[0.11681976 0.64771914],[0.10061078 0.64707369]
