FN,EAR_L,EAR_R,EAR,p1,p2,p3,p4,p5,p6
58,0.35153781691821406,0.25698914120390937,0.3042634790610617,[0.41168171 0.57564914],[0.43024239 0.56596023],[0.44748542 0.56879038],[0.45767054 0.57725   ],[0.44393772 0.58437604],[0.42695272 0.58199513]
59,0.35823956345448127,0.26696622133159364,0.31260289239303746,[0.41233936 0.5758152 ],[0.43017322 0.56595993],[0.4468959  0.56825864],[0.45704928 0.57590801],[0.44403312 0.58366829],[0.42752406 0.5821045 ]
60,0.35640470361326876,0.27826975986439356,0.31733723173883116,[0.4130013  0.57772332],[0.43079302 0.56770694],[0.44736469 0.56984299],[0.45751196 0.5776704 ],[0.44469711 0.58507448],[0.42827499 0.58377516]
61,0.35128428396160954,0.2757997740124992,0.3135420289870544,[0.41448915 0.57648629],[0.43181235 0.56767118],[0.44802535 0.57011467],[0.45789617 0.57761037],[0.44516206 0.58481807],[0.42912391 0.58296371]
62,0.37790417901815826,0.2742693620501148,0.32608677053413654,[0.41486514 0.57819891],[0.43234158 0.56822431],[0.44838208 0.57075542],[0.45781282 0.57862306],[0.44513589 0.58629882],[0.42926747 0.58451992]
63,0.32367041711107647,0.2982472076810248,0.3109588123960506,[0.41484696 0.57862908],[0.43265155 0.56961811],[0.44897214 0.57201004],[0.45870554 0.57953393],[0.44587293 0.5856024 ],[0.42978317 0.58378696]
64,0.33053017520377387,0.2814248956920467,0.3059775354479103,[0.41718987 0.57889611],[0.43410298 0.57026088],[0.449792   0.57221729],[0.45941061 0.57934099],[0.44725913 0.58565283],[0.43171957 0.5842998 ]
65,0.3336229137860121,0.29201154651142414,0.3128172301487181,[0.41643995 0.57847083],[0.43370193 0.56955534],[0.44979966 0.57200873],[0.45946312 0.57948035],[0.44675344 0.58578515],[0.43089226 0.58388829]
66,0.358042242786436,0.2825967482821937,0.3203194955343148,[0.41680995 0.57811588],[0.43393216 0.56870967],[0.44932321 0.57114959],[0.45846847 0.57878637],[0.44604871 0.58543384],[0.43077415 0.58355767]
67,0.33378383324175803,0.25898124598881456,0.29638253961528627,[0.41764966 0.5774436 ],[0.43457472 0.56925422],[0.45004535 0.57211322],[0.45911539 0.58006412],[0.4474214  0.58534211],[0.4320558  0.58327961]
68,0.32266302326920515,0.2797415113179862,0.30120226729359567,[0.41811064 0.57660723],[0.43568355 0.56823784],[0.45209804 0.57071918],[0.46083695 0.57828486],[0.44904923 0.5839327 ],[0.43300366 0.58201253]
69,0.32028767824487536,0.27883187585626423,0.2995597770505698,[0.41815147 0.57613868],[0.4352833 0.5686875],[0.45110476 0.57165325],[0.46046737 0.57933998],[0.44818935 0.58473241],[0.4325574 0.5821991]
70,0.3410935469362667,0.28090112315900206,0.3109973350476344,[0.41786596 0.57465786],[0.43557662 0.56623787],[0.45235217 0.56873763],[0.46206418 0.57675791],[0.44957387 0.58344823],[0.43306535 0.58124399]
71,0.3363277434767551,0.28296696641032326,0.3096473549435392,[0.41808432 0.57385778],[0.43531972 0.56606013],[0.45117083 0.56905162],[0.46054959 0.57689929],[0.44840801 0.58278263],[0.43266857 0.5804494 ]
72,0.32569131296923465,0.3043990246160456,0.3150451687926401,[0.41701996 0.57263196],[0.43418324 0.56540781],[0.45024088 0.56865633],[0.45967439 0.57633531],[0.44727504 0.58201945],[0.4313153  0.57931578]
