FN,EAR_L,EAR_R,EAR,p1,p2,p3,p4,p5,p6
70,0.04761367888126645,0.16207139626336473,0.10484253757231558,[0.59299725 0.54445547],[0.61245996 0.54502821],[0.632725  0.5480361],[0.64877301 0.54922259],[0.63050461 0.54901206],[0.61007345 0.54668516]
71,0.16825333392994765,0.1918230517970595,0.1800381928635036,[0.59373057 0.54141343],[0.61376369 0.53373194],[0.63345033 0.53516543],[0.64710653 0.54106003],[0.63086653 0.54327697],[0.61149508 0.5429042 ]
72,0.3417037248864781,0.23061747681398517,0.28616060085023165,[0.59143186 0.53769207],[0.6124934 0.5227201],[0.63261878 0.52400023],[0.64443797 0.53294796],[0.62966764 0.54120111],[0.61014092 0.54149061]
73,0.3893612331075496,0.2684411439117013,0.32890118850962546,[0.58963269 0.53742921],[0.61189282 0.51989245],[0.63309526 0.5213294 ],[0.64498436 0.53172421],[0.63024026 0.54178321],[0.60968184 0.54246426]
74,0.41958243112687327,0.3006764596096115,0.3601294453682424,[0.58985412 0.53737593],[0.61216921 0.51822799],[0.63372976 0.519593  ],[0.64555061 0.53090179],[0.63035846 0.54196572],[0.60970026 0.54253083]
75,0.4202832809401892,0.29348979984872003,0.3568865403944546,[0.59022146 0.53761661],[0.61228544 0.51778638],[0.63403314 0.51923603],[0.64592844 0.5311988 ],[0.63056499 0.54164064],[0.60992765 0.54213619]
76,0.41026446868816635,0.3066440389584806,0.35845425382332347,[0.58966285 0.5371893 ],[0.61201471 0.51826555],[0.6336174  0.51959532],[0.64557517 0.53072995],[0.63039279 0.54151154],[0.60971445 0.54218584]
77,0.4212807999681416,0.3208710640401336,0.3710759320041376,[0.58944631 0.53734356],[0.61195582 0.51772511],[0.63390809 0.51908273],[0.64592046 0.53066289],[0.63042855 0.54187304],[0.60945833 0.54245967]
78,0.4310982668864346,0.3201873148393027,0.37564279086286867,[0.58968627 0.5372383 ],[0.61200488 0.5171755 ],[0.63388228 0.51847434],[0.64591169 0.53044599],[0.63036734 0.54178667],[0.60948491 0.54230344]
79,0.4134588149156835,0.3175592423842981,0.3655090286499908,[0.58892161 0.5375632 ],[0.61171544 0.51789618],[0.63388497 0.51915967],[0.64601773 0.53065443],[0.63047934 0.54179984],[0.60927093 0.54243803]
80,0.43841410860723606,0.31801358848372385,0.37821384854547996,[0.59027398 0.5374198 ],[0.6124658  0.51723075],[0.63410306 0.51856804],[0.64590919 0.53062719],[0.63048774 0.54199022],[0.6098581  0.54254198]
81,0.41691411621547064,0.32437432464012517,0.3706442204277979,[0.58946717 0.53728825],[0.61197913 0.51757616],[0.6341446  0.51907992],[0.64625663 0.53081357],[0.63069397 0.54176188],[0.6096164  0.54217947]
82,0.4155792155448422,0.3218448812036089,0.36871204837422555,[0.5889203  0.53713745],[0.6118412 0.5176326],[0.63385499 0.51957995],[0.64560854 0.53137779],[0.63006663 0.54200089],[0.60906279 0.54209608]
83,0.421972988534068,0.3363144524322716,0.3791437204831698,[0.58964092 0.53823155],[0.61228371 0.5179683 ],[0.63446671 0.51912212],[0.64646584 0.53088427],[0.63076103 0.54214728],[0.60967284 0.54286671]
