,Start_blink,End_blink,Blink_frame,No_of_frames
376,81746,81747,81746,1
377,82119,82123,82121,4
378,82469,82470,82469,1
379,83640,83642,83640,2
380,83755,83758,83755,3
381,83846,83847,83846,1
382,83864,83864,83864,0
383,84201,84202,84201,1
384,84553,84555,84553,2
385,84844,84847,84844,3
386,85519,85521,85520,2
387,85865,85865,85865,0
388,86777,86786,86779,9
389,87165,87166,87165,1
390,87188,87188,87188,0
391,87441,87442,87441,1
392,88538,88541,88540,3
393,88667,88670,88667,3
394,88685,88687,88685,2
395,88889,88891,88890,2
396,88904,88905,88904,1
397,89601,89604,89601,3
398,89951,89953,89951,2
399,90317,90334,90317,17
400,90708,90712,90710,4
401,90756,90756,90756,0
402,91217,91218,91217,1
403,92212,92213,92212,1
404,92280,92280,92280,0
405,92307,92307,92307,0
406,92352,92352,92352,0
407,92361,92361,92361,0
408,92455,92456,92455,1
409,92494,92495,92494,1
410,92639,92640,92639,1
411,92694,92698,92696,4
412,92762,92763,92762,1
413,92842,92844,92842,2
414,92957,92962,92958,5
415,93018,93024,93018,6
416,93214,93215,93214,1
417,93285,93287,93286,2
418,93349,93351,93349,2
419,93527,93529,93527,2
420,93737,93743,93739,6
421,93804,93811,93804,7
422,93828,93831,93829,3
423,93873,93876,93873,3
424,93892,93893,93892,1
425,94099,94101,94099,2
426,94187,94189,94187,2
427,94224,94226,94224,2
428,94281,94283,94281,2
429,94343,94346,94343,3
430,94406,94408,94406,2
431,94474,94475,94474,1
432,94548,94551,94548,3
433,94580,94583,94580,3
434,94645,94649,94645,4
435,94759,94762,94759,3
436,94828,94834,94830,6
437,94865,94867,94866,2
438,94964,94969,94967,5
439,95090,95095,95092,5
440,95183,95185,95183,2
441,95294,95300,95297,6
442,95400,95410,95400,10
443,95512,95514,95512,2
444,95579,95581,95579,2
445,95616,95617,95616,1
446,95651,95651,95651,0
447,95706,95710,95706,4
448,95773,95782,95773,9
449,95967,95976,95967,9
450,96020,96022,96020,2
451,96219,96221,96219,2
452,96466,96468,96467,2
453,96596,96597,96596,1
454,96642,96642,96642,0
455,96728,96728,96728,0
456,96748,96749,96748,1
457,96883,96886,96883,3
458,96940,96942,96940,2
459,97026,97027,97026,1
460,97166,97172,97169,6
461,97198,97201,97198,3
462,97212,97212,97212,0
463,97586,97587,97586,1
464,97775,97777,97775,2
465,97874,97882,97876,8
466,97973,97978,97973,5
467,98007,98010,98007,3
468,98074,98075,98074,1
469,98119,98119,98119,0
470,98258,98261,98258,3
471,98639,98652,98639,13
472,98719,98722,98719,3
473,99038,99040,99038,2
474,99094,99099,99097,5
475,99126,99162,99128,36
476,99311,99317,99314,6
477,99563,99567,99563,4
478,99873,99875,99873,2
479,99948,99950,99948,2
480,100202,100204,100202,2
481,100287,100290,100289,3
482,100498,100499,100498,1
483,100576,100581,100576,5
484,100642,100645,100642,3
485,100875,100876,100875,1
486,100998,100999,100998,1
487,101047,101051,101048,4
488,101097,101117,101097,20
489,101149,101152,101149,3
490,101227,101228,101227,1
491,101254,101262,101254,8
492,101350,101350,101350,0
493,101409,101414,101411,5
494,101436,101438,101436,2
495,101540,101545,101540,5
496,101697,101699,101697,2
497,101906,101911,101906,5
498,101954,101958,101954,4
499,101998,101999,101998,1
500,102050,102052,102050,2
501,102114,102119,102114,5
502,102201,102203,102201,2
503,102295,102301,102295,6
504,102311,102312,102311,1
505,102358,102361,102358,3
506,102444,102453,102444,9
507,102471,102473,102471,2
508,102814,102815,102814,1
509,102884,102893,102885,9
510,102963,102967,102965,4
511,103136,103138,103136,2
512,103156,103161,103159,5
513,103378,103379,103378,1
514,103490,103491,103490,1
515,103895,103896,103895,1
516,104162,104165,104164,3
517,104189,104189,104189,0
518,104255,104266,104257,11
519,104353,104354,104353,1
520,104386,104386,104386,0
521,104455,104455,104455,0
522,104539,104542,104539,3
523,104586,104586,104586,0
524,104807,104813,104810,6
525,104828,104828,104828,0
526,105021,105044,105021,23
527,105060,105065,105060,5
528,105075,105087,105075,12
529,105195,105198,105195,3
530,105212,105222,105212,10
531,105496,105498,105496,2
532,105900,105902,105900,2
533,106128,106133,106128,5
534,106410,106414,106412,4
535,106520,106526,106522,6
536,106737,106740,106739,3
537,106792,106800,106792,8
538,106848,106853,106849,5
539,106899,106920,106900,21
540,106996,106998,106996,2
541,107118,107120,107118,2
542,107148,107154,107151,6
543,107283,107284,107283,1
544,107331,107419,107331,88
545,107420,107424,107420,4
546,107749,107751,107749,2
547,107780,107790,107780,10
548,107797,107803,107800,6
549,108096,108097,108096,1
550,108206,108207,108206,1
551,108434,108444,108434,10
552,108487,108495,108489,8
553,108608,108610,108608,2
554,108798,108800,108798,2
555,108935,108937,108935,2
556,109084,109087,109084,3
557,109348,109354,109351,6
558,109509,109511,109509,2
559,110063,110064,110063,1
560,110247,110248,110247,1
561,110527,110529,110527,2
562,110607,110610,110609,3
563,110631,110632,110631,1
564,110898,110900,110898,2
565,111661,111661,111661,0
566,111681,111682,111681,1
567,111781,111788,111783,7
568,111850,111852,111851,2
569,112012,112014,112013,2
570,112054,112056,112054,2
571,112385,112388,112385,3
572,112428,112433,112430,5
573,112496,112497,112496,1
574,112535,112538,112535,3
575,112697,112698,112697,1
576,112721,112722,112721,1
577,112749,112760,112751,11
578,113004,113005,113004,1
579,113261,113262,113261,1
580,113525,113526,113525,1
581,113952,113954,113952,2
582,114012,114015,114014,3
583,114049,114050,114049,1
