,Start_blink,End_blink,Blink_frame,No_of_frames
191,17941,17941,17941,0
192,18039,18039,18039,0
193,18114,18114,18114,0
194,18184,18192,18184,8
195,18250,18258,18250,8
196,18292,18293,18292,1
197,18355,18355,18355,0
198,18394,18394,18394,0
199,18442,18443,18442,1
200,18489,18489,18489,0
201,18521,18521,18521,0
202,18608,18610,18608,2
203,18662,18662,18662,0
204,18814,18815,18814,1
205,18917,18917,18917,0
206,18976,18980,18979,4
207,18996,18996,18996,0
208,19065,19065,19065,0
209,19089,19092,19089,3
210,19120,19121,19120,1
211,19181,19182,19181,1
212,19235,19238,19237,3
213,19313,19314,19313,1
214,19378,19379,19378,1
215,19477,19478,19477,1
216,19506,19509,19506,3
217,19574,19575,19574,1
218,19658,19658,19658,0
219,19713,19714,19713,1
220,19848,19848,19848,0
221,19893,19893,19893,0
222,19973,19973,19973,0
223,20059,20060,20059,1
224,20117,20122,20117,5
225,20220,20220,20220,0
226,20277,20278,20277,1
227,20362,20362,20362,0
228,20472,20472,20472,0
229,20520,20522,20520,2
230,20631,20632,20631,1
231,20650,20650,20650,0
232,20742,20742,20742,0
233,20794,20795,20794,1
234,20862,20865,20862,3
235,20889,20889,20889,0
236,21092,21094,21092,2
237,21171,21171,21171,0
238,21200,21200,21200,0
239,21219,21221,21219,2
240,21251,21252,21251,1
241,21341,21345,21341,4
242,21416,21416,21416,0
243,21464,21464,21464,0
244,21510,21540,21510,30
245,21608,21608,21608,0
