FN,EAR_L,EAR_R,EAR,P1,P2,P3,P4,P5,P6,NOSE_x,NOSE_y,TIMESTAMP
57,0.1849959207042275,0.32527858173995605,0.25513725122209174,[0.43705431 0.36007199],[0.45521495 0.35053924],[0.47494143 0.34952965],[0.49116868 0.35279155],[0.47285643 0.35913661],[0.45389029 0.36082596],0.3825259208679199,0.42193448543548584,1663311798221
58,0.17858341622034032,0.3432575029480422,0.26092045958419124,[0.43423858 0.35754812],[0.45287845 0.34830308],[0.47313276 0.34715256],[0.48923242 0.35023341],[0.47144559 0.3566933 ],[0.45186952 0.35837889],0.3780013918876648,0.420440673828125,1663311798237
59,0.17771661929129742,0.3328852460873805,0.25530093268933896,[0.42945036 0.35915369],[0.44780388 0.34976691],[0.46802723 0.3485342 ],[0.48452887 0.35172293],[0.46617329 0.35802019],[0.44663361 0.35978743],0.37377116084098816,0.4210353195667267,1663311798253
60,0.1944914723428726,0.33756934984910936,0.26603041109599096,[0.42608318 0.36205235],[0.44473678 0.35166246],[0.46512839 0.35019436],[0.48123828 0.3533662 ],[0.46279314 0.36061269],[0.44314966 0.36258978],0.3695046305656433,0.4259550869464874,1663311798268
61,0.18704595412862116,0.33501207835487984,0.2610290162417505,[0.42512378 0.36093399],[0.44265741 0.35061014],[0.46238932 0.3487677 ],[0.47872287 0.35171983],[0.4601849  0.35869098],[0.44125205 0.36069259],0.3666221797466278,0.42464059591293335,1663311798284
62,0.18594940790897221,0.34658685758782315,0.26626813274839767,[0.42404372 0.36015534],[0.44187722 0.35004994],[0.46225253 0.3484064 ],[0.47891709 0.35155082],[0.46031931 0.35844409],[0.44088626 0.36043733],0.36449581384658813,0.42535436153411865,1663311798301
63,0.19467586889492206,0.340965364259565,0.26782061657724354,[0.42690015 0.36014202],[0.44398198 0.35029984],[0.46370974 0.34865272],[0.47983605 0.35130823],[0.46227506 0.3588649 ],[0.4436582  0.36087811],0.3669310510158539,0.4267691969871521,1663311798317
64,0.13922912246451594,0.35740913487955056,0.24831912867203326,[0.42866391 0.36025754],[0.44591096 0.35301852],[0.4664169  0.35155493],[0.48348749 0.35293555],[0.46516082 0.35911331],[0.44573569 0.36075613],0.3658190667629242,0.42460963129997253,1663311798334
65,0.14513533685544142,0.3369040117768099,0.24101967431612564,[0.42944461 0.3606452 ],[0.44742852 0.35348725],[0.46773455 0.3518354 ],[0.4838264  0.35283673],[0.46554568 0.35958654],[0.44613993 0.36127442],0.3705507814884186,0.4274601340293884,1663311798351
66,0.187314663499649,0.3017805047905816,0.2445475841451153,[0.4328742  0.35965636],[0.45009878 0.35007355],[0.46951976 0.34879121],[0.48573643 0.3518883 ],[0.46784413 0.35839215],[0.44915408 0.36030036],0.37326133251190186,0.42324039340019226,1663311798369
67,0.19088426127767963,0.3398565677695373,0.2653704145236085,[0.43902588 0.356796  ],[0.45725033 0.34826514],[0.47702071 0.34794718],[0.49302238 0.35158837],[0.4746986  0.35783941],[0.45536247 0.35864353],0.3780958354473114,0.42091721296310425,1663311798385
