FN,EAR_L,EAR_R,EAR,P1,P2,P3,P4,P5,P6,TIMESTAMP
184,0,0,0,0,0,0,0,0,0,1663658636500
185,0,0,0,0,0,0,0,0,0,1663658636517
186,0,0,0,0,0,0,0,0,0,1663658636535
187,0,0,0,0,0,0,0,0,0,1663658636551
188,0,0,0,0,0,0,0,0,0,1663658636568
189,0,0,0,0,0,0,0,0,0,1663658636585
190,0,0,0,0,0,0,0,0,0,1663658636604
191,0,0,0,0,0,0,0,0,0,1663658636621
192,0,0,0,0,0,0,0,0,0,1663658636639
193,0,0,0,0,0,0,0,0,0,1663658636657
194,0,0,0,0,0,0,0,0,0,1663658636674
195,0,0,0,0,0,0,0,0,0,1663658636691
196,0,0,0,0,0,0,0,0,0,1663658636710
197,0,0,0,0,0,0,0,0,0,1663658636727
198,0,0,0,0,0,0,0,0,0,1663658636743
199,0,0,0,0,0,0,0,0,0,1663658636761
200,0,0,0,0,0,0,0,0,0,1663658636777
201,0,0,0,0,0,0,0,0,0,1663658636796
202,0,0,0,0,0,0,0,0,0,1663658636812
203,0,0,0,0,0,0,0,0,0,1663658636830
204,0,0,0,0,0,0,0,0,0,1663658636848
205,0,0,0,0,0,0,0,0,0,1663658636867
206,0,0,0,0,0,0,0,0,0,1663658636885
207,0,0,0,0,0,0,0,0,0,1663658636910
208,0,0,0,0,0,0,0,0,0,1663658636926
209,0,0,0,0,0,0,0,0,0,1663658636944
210,0,0,0,0,0,0,0,0,0,1663658636962
211,0,0,0,0,0,0,0,0,0,1663658636979
212,0,0,0,0,0,0,0,0,0,1663658636997
213,0,0,0,0,0,0,0,0,0,1663658637015
214,0,0,0,0,0,0,0,0,0,1663658637034
215,0,0,0,0,0,0,0,0,0,1663658637051
216,0,0,0,0,0,0,0,0,0,1663658637069
217,0,0,0,0,0,0,0,0,0,1663658637086
218,0,0,0,0,0,0,0,0,0,1663658637104
219,0,0,0,0,0,0,0,0,0,1663658637121
220,0,0,0,0,0,0,0,0,0,1663658637139
221,0,0,0,0,0,0,0,0,0,1663658637157
222,0,0,0,0,0,0,0,0,0,1663658637176
223,0,0,0,0,0,0,0,0,0,1663658637194
224,0,0,0,0,0,0,0,0,0,1663658637211
225,0,0,0,0,0,0,0,0,0,1663658637229
226,0,0,0,0,0,0,0,0,0,1663658637246
227,0,0,0,0,0,0,0,0,0,1663658637263
228,0,0,0,0,0,0,0,0,0,1663658637281
229,0,0,0,0,0,0,0,0,0,1663658637298
230,0,0,0,0,0,0,0,0,0,1663658637316
231,0,0,0,0,0,0,0,0,0,1663658637332
232,0,0,0,0,0,0,0,0,0,1663658637349
233,0,0,0,0,0,0,0,0,0,1663658637366
234,0,0,0,0,0,0,0,0,0,1663658637384
235,0,0,0,0,0,0,0,0,0,1663658637401
236,0,0,0,0,0,0,0,0,0,1663658637419
237,0,0,0,0,0,0,0,0,0,1663658637436
238,0,0,0,0,0,0,0,0,0,1663658637453
239,0,0,0,0,0,0,0,0,0,1663658637471
240,0,0,0,0,0,0,0,0,0,1663658637488
241,0,0,0,0,0,0,0,0,0,1663658637508
242,0,0,0,0,0,0,0,0,0,1663658637527
243,0,0,0,0,0,0,0,0,0,1663658637542
244,0,0,0,0,0,0,0,0,0,1663658637556
245,0,0,0,0,0,0,0,0,0,1663658637570
246,0,0,0,0,0,0,0,0,0,1663658637587
247,0,0,0,0,0,0,0,0,0,1663658637603
248,0,0,0,0,0,0,0,0,0,1663658637621
249,0,0,0,0,0,0,0,0,0,1663658637639
250,0,0,0,0,0,0,0,0,0,1663658637656
251,0,0,0,0,0,0,0,0,0,1663658637673
252,0,0,0,0,0,0,0,0,0,1663658637691
253,0,0,0,0,0,0,0,0,0,1663658637709
254,0,0,0,0,0,0,0,0,0,1663658637726
255,0,0,0,0,0,0,0,0,0,1663658637745
256,0,0,0,0,0,0,0,0,0,1663658637759
257,0,0,0,0,0,0,0,0,0,1663658637776
258,0,0,0,0,0,0,0,0,0,1663658637792
259,0,0,0,0,0,0,0,0,0,1663658637810
260,0,0,0,0,0,0,0,0,0,1663658637827
261,0,0,0,0,0,0,0,0,0,1663658637844
262,0,0,0,0,0,0,0,0,0,1663658637862
263,0,0,0,0,0,0,0,0,0,1663658637879
264,0,0,0,0,0,0,0,0,0,1663658637896
265,0,0,0,0,0,0,0,0,0,1663658637909
266,0,0,0,0,0,0,0,0,0,1663658637920
267,0,0,0,0,0,0,0,0,0,1663658637931
268,0,0,0,0,0,0,0,0,0,1663658637942
269,0,0,0,0,0,0,0,0,0,1663658637953
270,0,0,0,0,0,0,0,0,0,1663658637964
271,0,0,0,0,0,0,0,0,0,1663658637976
272,0,0,0,0,0,0,0,0,0,1663658637989
273,0,0,0,0,0,0,0,0,0,1663658637999
274,0,0,0,0,0,0,0,0,0,1663658638010
275,0,0,0,0,0,0,0,0,0,1663658638021
276,0,0,0,0,0,0,0,0,0,1663658638032
277,0,0,0,0,0,0,0,0,0,1663658638043
278,0,0,0,0,0,0,0,0,0,1663658638054
279,0,0,0,0,0,0,0,0,0,1663658638065
280,0,0,0,0,0,0,0,0,0,1663658638076
281,0,0,0,0,0,0,0,0,0,1663658638087
282,0,0,0,0,0,0,0,0,0,1663658638100
283,0,0,0,0,0,0,0,0,0,1663658638111
284,0,0,0,0,0,0,0,0,0,1663658638123
285,0,0,0,0,0,0,0,0,0,1663658638134
286,0,0,0,0,0,0,0,0,0,1663658638146
287,0,0,0,0,0,0,0,0,0,1663658638158
288,0,0,0,0,0,0,0,0,0,1663658638171
289,0,0,0,0,0,0,0,0,0,1663658638182
290,0,0,0,0,0,0,0,0,0,1663658638193
291,0,0,0,0,0,0,0,0,0,1663658638205
292,0,0,0,0,0,0,0,0,0,1663658638216
293,0,0,0,0,0,0,0,0,0,1663658638226
294,0,0,0,0,0,0,0,0,0,1663658638237
295,0,0,0,0,0,0,0,0,0,1663658638248
296,0,0,0,0,0,0,0,0,0,1663658638260
297,0,0,0,0,0,0,0,0,0,1663658638271
298,0,0,0,0,0,0,0,0,0,1663658638282
299,0,0,0,0,0,0,0,0,0,1663658638293
300,0,0,0,0,0,0,0,0,0,1663658638304
301,0,0,0,0,0,0,0,0,0,1663658638314
302,0,0,0,0,0,0,0,0,0,1663658638326
303,0,0,0,0,0,0,0,0,0,1663658638337
304,0,0,0,0,0,0,0,0,0,1663658638348
305,0,0,0,0,0,0,0,0,0,1663658638359
306,0,0,0,0,0,0,0,0,0,1663658638371
307,0,0,0,0,0,0,0,0,0,1663658638382
308,0,0,0,0,0,0,0,0,0,1663658638394
309,0,0,0,0,0,0,0,0,0,1663658638404
310,0,0,0,0,0,0,0,0,0,1663658638415
311,0,0,0,0,0,0,0,0,0,1663658638426
312,0,0,0,0,0,0,0,0,0,1663658638437
313,0,0,0,0,0,0,0,0,0,1663658638453
314,0,0,0,0,0,0,0,0,0,1663658638468
315,0,0,0,0,0,0,0,0,0,1663658638483
316,0,0,0,0,0,0,0,0,0,1663658638499
317,0,0,0,0,0,0,0,0,0,1663658638516
318,0,0,0,0,0,0,0,0,0,1663658638533
319,0,0,0,0,0,0,0,0,0,1663658638550
320,0,0,0,0,0,0,0,0,0,1663658638567
321,0,0,0,0,0,0,0,0,0,1663658638584
322,0,0,0,0,0,0,0,0,0,1663658638602
323,0,0,0,0,0,0,0,0,0,1663658638620
324,0,0,0,0,0,0,0,0,0,1663658638638
325,0,0,0,0,0,0,0,0,0,1663658638655
326,0,0,0,0,0,0,0,0,0,1663658638672
327,0,0,0,0,0,0,0,0,0,1663658638689
328,0,0,0,0,0,0,0,0,0,1663658638707
329,0,0,0,0,0,0,0,0,0,1663658638724
330,0,0,0,0,0,0,0,0,0,1663658638742
331,0,0,0,0,0,0,0,0,0,1663658638760
332,0,0,0,0,0,0,0,0,0,1663658638777
333,0,0,0,0,0,0,0,0,0,1663658638794
334,0,0,0,0,0,0,0,0,0,1663658638811
335,0,0,0,0,0,0,0,0,0,1663658638830
336,0,0,0,0,0,0,0,0,0,1663658638847
337,0,0,0,0,0,0,0,0,0,1663658638864
338,0,0,0,0,0,0,0,0,0,1663658638881
339,0,0,0,0,0,0,0,0,0,1663658638898
340,0,0,0,0,0,0,0,0,0,1663658638915
341,0,0,0,0,0,0,0,0,0,1663658638932
342,0,0,0,0,0,0,0,0,0,1663658638949
343,0,0,0,0,0,0,0,0,0,1663658638968
344,0,0,0,0,0,0,0,0,0,1663658638986
345,0,0,0,0,0,0,0,0,0,1663658639003
346,0,0,0,0,0,0,0,0,0,1663658639022
347,0,0,0,0,0,0,0,0,0,1663658639041
348,0,0,0,0,0,0,0,0,0,1663658639059
349,0,0,0,0,0,0,0,0,0,1663658639077
350,0,0,0,0,0,0,0,0,0,1663658639096
351,0,0,0,0,0,0,0,0,0,1663658639115
352,0,0,0,0,0,0,0,0,0,1663658639133
353,0,0,0,0,0,0,0,0,0,1663658639150
354,0,0,0,0,0,0,0,0,0,1663658639167
