FN,EAR,MAR,MOEAR,MINUTE,TIMESTAMP,NOSE_x,NOSE_y
839,0.33739905660894365,3.795920739901287,11.250537503134993,1,1662701914188,0.3473491668701172,0.43459242582321167
840,0.3442404924619248,3.8909162557887855,11.302901143215005,1,1662701914212,0.3518041670322418,0.43453824520111084
841,0.3125177532932386,4.17885687498315,13.371582353153823,1,1662701914231,0.3490011990070343,0.43777909874916077
842,0.31462975577487784,4.0779424511658195,12.961083229787226,1,1662701914251,0.34460946917533875,0.4410780072212219
843,0.30995095099186704,4.33989035188883,14.001861707476117,1,1662701914268,0.3430909514427185,0.44158509373664856
844,0.31521784312921985,3.9182823331624377,12.43039510157483,1,1662701914285,0.3413352966308594,0.4378560483455658
845,0.33327534533398573,4.486759451019126,13.462620364320088,1,1662701914301,0.3425317406654358,0.4359491765499115
846,0.3192705273490627,3.9352855996352396,12.325865567079857,1,1662701914318,0.3453621566295624,0.4391140937805176
847,0.3093400635676692,4.189868665879182,13.544539357614225,1,1662701914336,0.3462885320186615,0.44092363119125366
848,0.3267264482988841,4.436482044312171,13.578582534138002,1,1662701914355,0.34360188245773315,0.44258007407188416
849,0.3417341631813269,4.166824494631548,12.19317511553739,1,1662701914375,0.3465458154678345,0.4404504597187042
850,0.32879264501090416,4.299590314903397,13.076905399635093,1,1662701914395,0.35156500339508057,0.43746206164360046
851,0.3481594806114088,3.934892869043168,11.301983970486846,1,1662701914415,0.3556191325187683,0.4380570948123932
852,0.33158450711368226,3.6421102547223008,10.983957864694865,1,1662701914432,0.356876403093338,0.434279203414917
853,0.32037970202853494,3.8433862621776083,11.996347577086183,1,1662701914451,0.3533501923084259,0.4327339828014374
854,0.3239518733659111,3.8259395426090874,11.810209655085405,1,1662701914468,0.35151198506355286,0.43583983182907104
855,0.31394295650077936,4.462443978394514,14.214187278265745,1,1662701914487,0.34643417596817017,0.4317499101161957
856,0.26691983276079256,3.9259311662508134,14.708278233371827,1,1662701914507,0.35024455189704895,0.42125722765922546
857,0.2871813559343864,3.8252942320962533,13.320134309033055,1,1662701914527,0.35471203923225403,0.41202276945114136
858,0.28593837611371636,4.341109170510115,15.18197462513278,1,1662701914547,0.3610701560974121,0.4118436872959137
859,0.2987044473231808,3.6610562702364855,12.256450491597255,1,1662701914566,0.3614261746406555,0.42019760608673096
860,0.31491520319294497,3.7310758658074064,11.847874691274967,1,1662701914589,0.3608070909976959,0.42953842878341675
861,0.3105439899290771,4.075323505098749,13.123176223856344,1,1662701914609,0.3555276691913605,0.43294382095336914
862,0.3114612491840654,4.046269347737204,12.991244844542331,1,1662701914628,0.3558913469314575,0.42892926931381226
863,0.3301812301404949,3.832641480929685,11.607690356289678,1,1662701914649,0.35227465629577637,0.4296439290046692
864,0.3160876213308938,3.712861093091224,11.746303374545771,1,1662701914668,0.3530370593070984,0.4310419261455536
865,0.31700300900621065,4.364090373576221,13.766715928840664,1,1662701914688,0.34871718287467957,0.42657288908958435
866,0.31466093570434917,3.901397358907059,12.398734371567354,1,1662701914711,0.35299205780029297,0.4265476167201996
867,0.29964594260280614,4.158652205280025,13.878553365871872,1,1662701914732,0.3537296950817108,0.4205496311187744
