FN,EAR_L,EAR_R,EAR,p1,p2,p3,p4,p5,p6
26,0.6791049849453465,0.4238434318091476,0.551474208377247,[0.69959968 0.42463091],[0.71221077 0.415941  ],[0.72330475 0.41682521],[0.72237939 0.42415318],[0.7203306  0.43180364],[0.70901102 0.43128651]
27,0.7251739887270303,0.4159054734795876,0.5705397311033089,[0.70453334 0.42280322],[0.71601903 0.41559377],[0.72567976 0.41716629],[0.72367519 0.4243935 ],[0.72286785 0.43038085],[0.71305043 0.42963088]
28,0.638050451928318,0.4178555399205143,0.5279529959244161,[0.70964694 0.42413408],[0.72066623 0.41873801],[0.72970146 0.42031711],[0.72731054 0.42637214],[0.7271297  0.43098772],[0.71785784 0.4301419 ]
29,0.6946049660209349,0.40869483762561026,0.5516499018232726,[0.71247554 0.42624661],[0.723306   0.42064759],[0.73171955 0.42187929],[0.7280187  0.42713469],[0.7290023  0.43198419],[0.72049659 0.43145239]
30,0.8407489968595223,0.453178927396184,0.6469639621278531,[0.71462977 0.42501512],[0.72540057 0.4188948 ],[0.73330033 0.4204787 ],[0.72898519 0.42649496],[0.73047048 0.43174544],[0.72241968 0.4311884 ]
31,0.7820074909096664,0.4447128107558858,0.6133601508327761,[0.71858197 0.42183489],[0.7286703 0.4154281],[0.7365365  0.41660288],[0.73319042 0.4221319 ],[0.73421872 0.42716199],[0.72635317 0.42724511]
32,1.0653303148127569,0.45932598882845577,0.7623281518206063,[0.71886712 0.4201012 ],[0.72845626 0.41098151],[0.73572755 0.41178891],[0.73179293 0.41866925],[0.73346794 0.42473394],[0.72625053 0.42538178]
33,1.0973634262349437,0.45496910496098397,0.7761662655979638,[0.71813542 0.4209705 ],[0.72836828 0.41448075],[0.73521018 0.41564241],[0.72969961 0.4209528 ],[0.73256767 0.42744508],[0.72572708 0.42750096]
34,1.3292509338805978,0.45371759150215324,0.8914842626913755,[0.71905005 0.42206755],[0.7288962  0.41256514],[0.73556221 0.41309872],[0.73031914 0.42022571],[0.73320812 0.42743516],[0.72660941 0.42822707]
35,1.356515047804982,0.4256262352294103,0.8910706415171962,[0.71990538 0.42235807],[0.72911966 0.4143092 ],[0.73498136 0.41534624],[0.72922963 0.4213886 ],[0.73238325 0.42711708],[0.72656578 0.42744237]
36,1.3411591547991975,0.44815687984102587,0.8946580173201116,[0.71897131 0.42493406],[0.7292763  0.41698551],[0.73511708 0.41842663],[0.72793102 0.42380726],[0.73182368 0.42950752],[0.72609502 0.42924151]
