FN,EAR_L,EAR_R,EAR,p1,p2,p3,p4,p5,p6
47,0.33474995055656087,0.29127664940158193,0.3130132999790714,[0.59328628 0.42418092],[0.61411482 0.41114688],[0.63370347 0.41202858],[0.64650023 0.42083576],[0.63259041 0.42899147],[0.6129601  0.42980888]
48,0.3484638246404925,0.2836098518690621,0.31603683825477735,[0.5943234  0.42571658],[0.61552238 0.41199806],[0.63561118 0.41287816],[0.64821213 0.42175508],[0.63451385 0.43069911],[0.61440229 0.43176955]
49,0.33233543115404635,0.28549919307315397,0.3089173121136002,[0.59562433 0.42556393],[0.61692923 0.41270724],[0.63707185 0.41372818],[0.64979643 0.4221032 ],[0.63574415 0.43082196],[0.6155141  0.43158904]
50,0.3234909042843144,0.2909280916061856,0.30720949794525,[0.59670287 0.42518926],[0.61812842 0.41274455],[0.63834006 0.41397199],[0.65121704 0.42248443],[0.63712275 0.43068051],[0.61683339 0.43125957]
51,0.3246289945405977,0.2878063211858646,0.30621765786323113,[0.59886605 0.42463088],[0.62019509 0.41210532],[0.64029193 0.41357812],[0.65306151 0.42209476],[0.63894963 0.43014064],[0.61880833 0.4306621 ]
52,0.33627508310753823,0.289388080181522,0.3128315816445301,[0.60003287 0.42544758],[0.62182397 0.41200295],[0.64247894 0.41288561],[0.65526688 0.42165628],[0.64118087 0.43060747],[0.6206035  0.43143037]
53,0.33256409517270746,0.29403227381076197,0.31329818449173474,[0.60141391 0.42478165],[0.62326908 0.41192693],[0.64374876 0.41314894],[0.65620953 0.42170802],[0.64222872 0.43042833],[0.62183326 0.43103033]
54,0.32658695215883066,0.29874925711804323,0.31266810463843697,[0.60272652 0.42541668],[0.62472928 0.4125222 ],[0.64528131 0.41361737],[0.65768671 0.42197204],[0.6437881  0.43061623],[0.62334615 0.43137622]
55,0.337115914224464,0.300201421368465,0.3186586677964645,[0.60434383 0.42429739],[0.62592399 0.41112944],[0.64614475 0.41260967],[0.65837026 0.42121977],[0.64441276 0.42973709],[0.62435764 0.4303363 ]
56,0.32413924934262794,0.29676319757402214,0.31045122345832504,[0.60290128 0.42422402],[0.62567437 0.41101289],[0.64690232 0.41240731],[0.65948004 0.42129478],[0.64524955 0.4297753 ],[0.62420416 0.43023822]
57,0.3063034539808424,0.29288196053337945,0.29959270725711096,[0.6035074  0.42363769],[0.6253413  0.41173911],[0.64569163 0.41289148],[0.65857226 0.42101213],[0.64404172 0.42885187],[0.62365878 0.42938507]
58,0.24911231311113585,0.10492970804738529,0.17702101057926056,[0.60323107 0.42450839],[0.623797   0.41650406],[0.64289016 0.41785946],[0.65669477 0.42435628],[0.64205527 0.4305042 ],[0.62229979 0.43038833]
59,0.22364420403543955,0.08045321226906486,0.15204870815225222,[0.60186446 0.42370197],[0.62255913 0.41651031],[0.64216793 0.41817254],[0.65646368 0.42515177],[0.64139766 0.42964163],[0.62129372 0.42938355]
60,0.2102313852150766,0.07999370886497557,0.14511254704002607,[0.60223579 0.4241583 ],[0.62297428 0.41761509],[0.64260805 0.41926771],[0.6571725  0.42542535],[0.64224535 0.42999458],[0.62198812 0.4299477 ]
61,0.21471338180617422,0.21143198628799528,0.21307268404708474,[0.60398144 0.4229624 ],[0.62412643 0.4158448 ],[0.64320314 0.41720337],[0.65731996 0.42319   ],[0.64277333 0.42783931],[0.6231643  0.42806756]
62,0.2685749622578401,0.24547777472351442,0.2570263684906773,[0.60436332 0.42140791],[0.62543839 0.41232926],[0.64503479 0.41381127],[0.65833789 0.42081687],[0.6437065  0.42752099],[0.62370574 0.42745057]
63,0.2998820141508034,0.28146621394058396,0.29067411404569365,[0.60467941 0.42173481],[0.62688088 0.41017088],[0.6477716 0.4110961],[0.66111529 0.41886806],[0.6464057  0.42723349],[0.62545019 0.42780972]
64,0.3222172530837331,0.3092974098830614,0.31575733148339724,[0.6048739  0.42266098],[0.62623626 0.41044182],[0.64635736 0.41155684],[0.65982914 0.41961098],[0.64537215 0.4283995 ],[0.62502688 0.42900056]
65,0.3178906979266335,0.29825546895890376,0.3080730834427686,[0.60461873 0.42389339],[0.62670678 0.41150039],[0.64765638 0.41239217],[0.66128474 0.42030478],[0.64669168 0.42949292],[0.62565362 0.43044257]
66,0.3290300737314398,0.29754228375204417,0.31328617874174197,[0.60502416 0.42414832],[0.62698519 0.41042471],[0.64802563 0.4111492 ],[0.66139203 0.4191649 ],[0.6469239  0.42869908],[0.6260041  0.43005392]
67,0.3121100321723276,0.27877005454982257,0.2954400433610751,[0.6041491  0.42615557],[0.62635535 0.41302544],[0.64749289 0.41359764],[0.66128063 0.42130524],[0.64647406 0.43055171],[0.625278   0.43180084]
68,0.3298844177969504,0.2944244593151521,0.31215443855605124,[0.60606706 0.42747274],[0.62841249 0.41287801],[0.64981496 0.41328478],[0.66345888 0.42164266],[0.64854294 0.43138739],[0.62729877 0.43275979]
69,0.3359202287886398,0.2948680702584416,0.3153941495235407,[0.6076439  0.42961228],[0.63001341 0.41513056],[0.65137208 0.41569114],[0.66496497 0.42403191],[0.65010178 0.43405187],[0.62881428 0.43538314]
70,0.3515927967982916,0.28981332718359076,0.3207030619909412,[0.60946923 0.43028873],[0.63188499 0.41533083],[0.65334392 0.4161621 ],[0.66683352 0.42502534],[0.65195549 0.43541753],[0.63059455 0.43649328]
71,0.3321963185395176,0.2858010089566432,0.3089986637480804,[0.61154372 0.43018979],[0.63369602 0.41608682],[0.65487939 0.4172141 ],[0.6684401  0.42568544],[0.6537419  0.43497297],[0.63264769 0.43618405]
72,0.345001325265346,0.30714481355597684,0.3260730694106614,[0.61366326 0.43131122],[0.63608396 0.41596586],[0.65745813 0.41657171],[0.67082876 0.42531437],[0.65603662 0.43532917],[0.63488817 0.43678108]
73,0.31709033416357457,0.31012074267907397,0.31360553842132427,[0.61566401 0.43007997],[0.63789964 0.41591808],[0.65908217 0.41654366],[0.67244923 0.42427537],[0.65762085 0.43351629],[0.6366539  0.43504187]
74,0.3307371624813867,0.3055960817615108,0.31816662212144875,[0.61635751 0.42992347],[0.63889956 0.41520289],[0.66037285 0.41590863],[0.67362165 0.42435384],[0.65884167 0.43385014],[0.63766348 0.43521553]
75,0.3254924726742528,0.30819234866781997,0.31684241067103636,[0.61720079 0.42954928],[0.63964385 0.4152059 ],[0.66090894 0.41590935],[0.67403203 0.42432931],[0.65958142 0.4333809 ],[0.63857186 0.4348067 ]
76,0.3293495320518346,0.30641746276545134,0.31788349740864297,[0.61757571 0.42995185],[0.64020336 0.41563189],[0.66156471 0.4166095 ],[0.67471045 0.42519119],[0.66019124 0.4343136 ],[0.63902724 0.43560502]
77,0.3311626757051202,0.30024009281586733,0.31570138426049377,[0.6183095  0.42934638],[0.64109504 0.41484314],[0.66257465 0.41603354],[0.67566305 0.42483452],[0.66114968 0.43384463],[0.63994628 0.43504658]
78,0.33240364915727816,0.29632512507280206,0.3143643871150401,[0.61884636 0.43099505],[0.64173406 0.41618082],[0.66350132 0.4170028 ],[0.67693025 0.42582035],[0.66213167 0.43524176],[0.6406076  0.43662703]
79,0.3284730462118387,0.29552928645592885,0.31200116633388375,[0.62020797 0.43309531],[0.64270419 0.41826057],[0.66421485 0.41890123],[0.67759877 0.42744607],[0.66272771 0.43667006],[0.64151895 0.43827945]
80,0.31561767259449425,0.2960904500172668,0.30585406130588055,[0.6211921  0.43393794],[0.6435203  0.41932052],[0.6648826  0.42004627],[0.6785596  0.42840376],[0.66344011 0.43708879],[0.64232796 0.43856066]
81,0.32419588626018836,0.30859010279578486,0.31639299452798664,[0.62228602 0.43533945],[0.64478207 0.42060691],[0.66598082 0.42123109],[0.67961872 0.42937645],[0.66417956 0.43880039],[0.6430102  0.44024029]
82,0.3424057677568961,0.30679964630013207,0.32460270702851407,[0.62364793 0.43688709],[0.64565516 0.42135325],[0.66699225 0.42208865],[0.6808331  0.43103653],[0.6660555  0.44050872],[0.64488262 0.44226059]
83,0.3387261683849588,0.2823457865081617,0.31053597744656025,[0.62415349 0.43837911],[0.64647818 0.42274851],[0.66815186 0.42356646],[0.6821987  0.43263781],[0.66701424 0.44212469],[0.64561909 0.44365254]
84,0.3386940443340857,0.2991061490497278,0.3189000966919068,[0.62503159 0.43890196],[0.64742219 0.42316893],[0.66890395 0.42427444],[0.68250102 0.4334442 ],[0.66741544 0.44254571],[0.64622676 0.44390696]
85,0.33826388371765864,0.31198970710659557,0.3251267954121271,[0.62527353 0.4385913 ],[0.64783353 0.42321101],[0.66932052 0.42418084],[0.6827625  0.43288383],[0.66784072 0.44239384],[0.64652741 0.44398105]
86,0.33772103478006643,0.2877924630914688,0.3127567489357676,[0.62556237 0.44029635],[0.64823025 0.42474735],[0.66979402 0.4254615 ],[0.68360627 0.43426022],[0.66834414 0.44395694],[0.64686817 0.44556737]
87,0.3300154498018216,0.2733055121816136,0.3016604809917176,[0.6249761  0.44036496],[0.64808947 0.42487854],[0.66993725 0.42570314],[0.6835596  0.43437085],[0.66827542 0.44388586],[0.64659262 0.44543439]
88,0.3321173123238442,0.27302391504333084,0.3025706136835875,[0.62520796 0.43977964],[0.64820534 0.42447785],[0.66986293 0.42519414],[0.6834237  0.43373498],[0.66801703 0.44346905],[0.64647079 0.44491327]
89,0.3428722118486638,0.27820285524046606,0.3105375335445649,[0.62559593 0.43786582],[0.64786988 0.42286199],[0.66890925 0.42377821],[0.68256444 0.43231159],[0.66710001 0.44230759],[0.64609349 0.44341895]
90,0.331457606139284,0.27935596598841245,0.3054067860638482,[0.62454844 0.43778276],[0.64741939 0.42287439],[0.66905212 0.42378712],[0.68269587 0.43212232],[0.66727865 0.4420307 ],[0.64576495 0.44320664]
91,0.33641360455769304,0.2762532896913603,0.3063334471245267,[0.62374872 0.43867117],[0.64684552 0.42285269],[0.66882092 0.42370468],[0.68262589 0.43262857],[0.66718102 0.44240949],[0.64541018 0.44384938]
92,0.34470315982424216,0.28572586962989877,0.31521451472707046,[0.62333769 0.43896273],[0.64631319 0.42234096],[0.66847533 0.42308813],[0.68226445 0.43229344],[0.66689438 0.44228297],[0.64509714 0.44393075]
93,0.3399436402434209,0.27354178631397147,0.3067427132786962,[0.62274104 0.43932861],[0.6457954  0.42273462],[0.66799206 0.42333794],[0.68182516 0.43235505],[0.66650105 0.44229934],[0.64463627 0.44413269]
