FN,EAR_L,EAR_R,EAR,p1,p2,p3,p4,p5,p6
46,0.34809575727316033,0.31002518088983305,0.32906046908149666,[0.59222287 0.45832968],[0.62059391 0.44365662],[0.64634746 0.44752556],[0.66084087 0.45888481],[0.64317036 0.4699111 ],[0.6176722  0.46864939]
47,0.3627402617567634,0.3072352404079886,0.334987751082376,[0.59358048 0.4574466 ],[0.62160861 0.44196138],[0.64719689 0.44560584],[0.66183335 0.45721185],[0.64397037 0.46890473],[0.61869866 0.46779317]
48,0.37324504656749613,0.29755419599367816,0.33539962128058715,[0.59415305 0.45860612],[0.62218773 0.44227758],[0.64801776 0.44596523],[0.6624828  0.45793334],[0.64443362 0.46991923],[0.61898166 0.46887434]
49,0.3737576477611378,0.2994317413909233,0.33659469457603053,[0.59457636 0.46046302],[0.62256724 0.44388303],[0.648579   0.44723371],[0.66330081 0.45924544],[0.64527905 0.47147349],[0.61975789 0.4706533 ]
50,0.37018938263585716,0.30643959940966026,0.3383144910227587,[0.59393263 0.45972252],[0.62231588 0.44358522],[0.6484108  0.44747108],[0.66326761 0.45934469],[0.64505494 0.4715389 ],[0.61926991 0.47044733]
51,0.3788455026777939,0.29838729962229393,0.3386164011500439,[0.59408361 0.46251088],[0.6222654  0.44476649],[0.64831567 0.44774196],[0.66299164 0.45968762],[0.64482784 0.47237891],[0.61923361 0.47197026]
52,0.3625565672366331,0.28721377444630014,0.3248851708414666,[0.59277207 0.46326691],[0.62119538 0.44639239],[0.64766151 0.44936183],[0.66258651 0.46058196],[0.64455581 0.47315997],[0.61846459 0.47291303]
53,0.35880759631020814,0.2974505236834077,0.3281290599968079,[0.59224695 0.46451533],[0.621095   0.44806492],[0.6474905 0.4512122],[0.66214192 0.46263787],[0.64425969 0.47475773],[0.61814415 0.47430918]
54,0.3599447132848106,0.2960498881323341,0.32799730070857236,[0.59158897 0.46466786],[0.62016308 0.44856375],[0.64622241 0.4519909 ],[0.66099948 0.46337283],[0.64320201 0.47537196],[0.61726463 0.47480541]
55,0.34208136083750557,0.2878703719948036,0.3149758664161546,[0.590873   0.46629402],[0.61992908 0.45021135],[0.6463083  0.45319268],[0.66114646 0.46439004],[0.64337343 0.47573823],[0.61722577 0.47542721]
